"AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","IN_IF","IN_PF","IN_BC","IN_IN"
32.6,7.1,52.5,30,89.3,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,80.2,28.7,12.9,38.5,80,50.5348148148148,7.5,14.4222222222222,86.1,68.1,73.7,38.517037037037,43.3,22,63.6,69.6,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,30.5,72,61.9,32.8,0.9,57.4,32.8,96.4,32.8,61.4385185185185,0,4.4,0,44.422962962963
51.5,55.6,57.6,8.7,29,1.4,14.7,82.3459259259259,73.7244444444444,6.8,39.8481481481481,81.1,34.4,9.4,29.6,30,56.5,9.2,12,40,51,19.9,51.4,48.9,36.7,46.1,72.9844444444444,53.4,48.2,11.5,42.4,40.2,94.7,20.9,23.8,0,100,0.4,1.7,58.5,60.4,1.5,66.9,0,13,46.2659259259259,0
93.4,39.2,36.2,11,98.7,6.2,11.1,82.3459259259259,73.7244444444444,0,39.8481481481481,92.2,9.2,11.9,8.2,80,42.1,28.6,19,64.4,29.6,49.9,32.8,77.1,62.1,78.8,72.9844444444444,100,47.6,54.8,46.5,55.8,35.3,7.1,95.2,59.8,37.4,2.4,94.2,68.3,65.2,100,70.1,2.8,0,46.2659259259259,59.7
100,59,70.5,25.3,12.5,26.5,11.9,82.3459259259259,73.7244444444444,7.6,39.8481481481481,86.4,20.3,19.5,41.5,0,30.7,0,20,55.6,47.4,5.6,50.2,86.3,84.6,78.1,72.9844444444444,88.6,99.7,22.9,39.1,60,64,22.5,4,75.1,49.2,4.7,21.9,40.5,97.4,0,20.2,27.2,21.1,46.2659259259259,79.3
99.2,72.9,74.1,6.6,0,5.7,0,82.3459259259259,73.7244444444444,16.4,39.8481481481481,79,26.9,8.6,45,0,0,3.3,25,48.9,55.4,0,74.9,6.9,15.9,37.6,72.9844444444444,32.8,57.4,81.8,0,67.5,86.8,20.8,10.8,56.3,93.6,0.4,49.8,96.9,74.8,34.9,36.4,5.1,0,46.2659259259259,68.8
94.5,34.4,48.8,48.7,75.2,14.4,2.7,82.3459259259259,73.7244444444444,12.9,39.8481481481481,92.8,4.9,8.7,18.5,10,11.9,36.5,24,55.6,25.5,55.5,27.1,89.3,78.7,86.7,72.9844444444444,64.5,100,98.1,47.9,100,0,20.6,53.1,68.7,39.4,14.4,82,69.7,94.6,49.3,53.3,40.3,11.9,46.2659259259259,13.4
92.4,49.3,47.5,32.6,69,6.8,7.3,82.3459259259259,73.7244444444444,2.3,39.8481481481481,90.3,11.7,4.5,19.9,100,84.1,49.6,5,77.8,72.6,53.6,18.2,84.4,83,85.6,72.9844444444444,68.2,37.2,40.1,49.8,0,27.4,19.3,74.8,54.5,72.7,9.3,96.4,87.3,81.9,37.6,84.2,31.8,11.4,46.2659259259259,24.9
94.4,100,25.8,100,93.5,54.3,72.8,82.3459259259259,73.7244444444444,1.7,39.8481481481481,0,100,100,100,100,82.6,89.3,3,71.1,77.8,27.5,63.3,81.1,0,90.6,72.9844444444444,50.5,97.1,63.4,23.6,46.4,69.4,77.3,59.7,74.1,37.4,22.8,95.2,71.5,82.7,68.7,100,8.5,13.3,46.2659259259259,66.5
89.7,58.1,72.9,43.3,81.9,28.4,39,82.3459259259259,73.7244444444444,11.3,39.8481481481481,69.6,34.7,18,45.3,100,76.3,85.5,7,48.9,47.6,66.3,35.2,96.4,80.3,92.1,72.9844444444444,100,67.9,87.6,75.7,87,97.3,39.1,79.7,69.8,80.7,5,98.2,50.6,94.9,59.2,73.9,11.3,31.7,46.2659259259259,28.5
92.7,37.5,55.3,57.5,100,24.4,41.9,82.3459259259259,73.7244444444444,0.4,39.8481481481481,71.1,23.5,17,44.5,100,83.9,64.7,8,77.8,75.1,28.8,26.3,70,73.4,82.7,72.9844444444444,67.9,48.3,67.8,59.1,88.8,81.9,55.3,76.5,74.7,32,5.5,91.7,36.8,69.9,56.5,52.7,25,19.1,46.2659259259259,24.5
81.8,24.3,6.9,7.8,31.8,21.8,25.2,82.3459259259259,73.7244444444444,100,39.8481481481481,100,0.2,3.7,11,10,10.8,7.3,26,62.2,54,53.7,20.1,71.4,63.6,77.4,72.9844444444444,48.9,36.4,43,29,59,81.8,0,36.5,69.9,74.2,2.6,87.3,41.4,97.4,27.4,35,16.8,4.1,46.2659259259259,8.1
92.6,61.9,74.9,44.7,83.2,44.9,29.5,82.3459259259259,73.7244444444444,2.3,39.8481481481481,76.3,18.8,15.9,38.2,100,72.2,94.5,2,100,83.7,61.9,31.5,94.5,84.7,93.4,72.9844444444444,82.4,54,100,75.7,18.9,69.7,46.7,62.5,69.7,67.5,23.4,98.3,21.9,91.7,37.5,29.1,10.9,51.4,46.2659259259259,43
90.9,70.3,87.9,47.4,91.6,36.9,59.4,82.3459259259259,73.7244444444444,20.6,39.8481481481481,63.3,37.4,29.9,42.7,80,51.3,46.5,13,71.1,52.1,57.3,29.9,77.7,79.6,86.9,72.9844444444444,76.1,60.3,40.4,44.6,17.6,100,52,88.3,80.5,34.8,2.7,98.8,61,96.6,55.5,70.5,16.2,9.2,46.2659259259259,94.9
68.9,28.4,61.9,42.4,65.7,25.7,15.5,82.3459259259259,73.7244444444444,23.8,39.8481481481481,64.6,24.5,33.2,39.1,80,45.2,32,9,44.4,79.5,57.5,38.6,83.6,77.6,81.3,72.9844444444444,51.8,61.6,38.9,43.3,38.1,81.5,48.1,73.7,67.7,91.2,5.6,95.9,31.2,98.6,45.3,46.4,15,5.8,46.2659259259259,50
52.9,13.1,45,0,75,12.2,4.3,82.3459259259259,73.7244444444444,57.4,39.8481481481481,92.4,0,8,6.1,50,1,20.6,27,48.9,26,21.8,13.1,89.8,88.1,82.8,72.9844444444444,74.6,19.2,48.7,37.1,78.7,67.9,9.6,0,46.4,96.1,7.6,0,0,99.4,26.3,52.5,8.4,3.7,46.2659259259259,20
92.3,48.1,60,37.6,78.5,23.5,12.9,82.3459259259259,73.7244444444444,38.2,39.8481481481481,88.7,21.1,4.9,10.7,100,27.8,48.3,18,71.1,23,53.2,6.2,76.5,59.1,75.3,72.9844444444444,57,2.1,81.2,48.4,9.4,41.5,24,92.6,80.6,59.8,1.8,98,62.1,100,52.6,31.5,38.2,9.5,46.2659259259259,21.3
93.5,48,56.4,26.2,52.9,5.4,19,82.3459259259259,73.7244444444444,5.4,39.8481481481481,86.1,19.3,12.6,33,100,49,50.1,15,66.7,56.8,55.1,9.7,84.3,72.5,84,72.9844444444444,81.1,35.1,69.7,33.3,78.3,62.3,27,73.7,71.4,72.2,14.2,96.8,86.9,95,46.5,65.4,19.3,10.8,46.2659259259259,44.9
92.1,32.2,36.1,13.4,56.7,2.2,0.7,82.3459259259259,73.7244444444444,0.4,39.8481481481481,97,13.9,0,0,100,51.9,31,17,57.8,43.5,58.7,0,0,60,57.8,72.9844444444444,69.8,0,40.1,44.1,39.5,95.2,18.5,75.4,63.9,68.8,1.3,73.4,31,79.1,44,0,8.4,0,46.2659259259259,60.6
93.1,64.7,100,84.7,87.6,100,100,82.3459259259259,73.7244444444444,0.8,39.8481481481481,55.5,40.1,32.3,57.7,70,90.3,83.5,4,80,77.8,71.5,17.6,99.7,96.7,96.4,72.9844444444444,93.7,66.6,83.4,68.4,9.6,74.9,56.3,57.7,100,36.9,18.9,99.5,46.9,91.5,52.4,100,52.7,76.7,46.2659259259259,79.8
92.7,57.1,74.9,41.6,80.6,13.4,30.1,82.3459259259259,73.7244444444444,0.1,39.8481481481481,47.7,58.4,41.2,81,0,53.2,94.6,10,51.1,65.4,54.6,1.9,89.7,93.7,95.2,72.9844444444444,80.7,100,63.4,51.2,74.3,27,56.4,63.1,51.5,25.8,29.9,100,4.1,86.8,77.8,100,38.2,42.3,46.2659259259259,54.3
92.9,54,39.1,33.7,50.4,8.3,18.1,82.3459259259259,73.7244444444444,19.4,39.8481481481481,84.2,25.3,9.4,32.2,100,9.3,60.9,22,66.7,39.9,73.9,40.5,68.6,59.1,77.9,72.9844444444444,0,60,48.7,30.5,13.6,49.4,20.6,100,63.1,62.9,2.8,92.6,100,97.4,38,46.9,27.1,30.6,46.2659259259259,48.7
40.8,0,34.9,0.3,28.8,36.2,24.5,82.3459259259259,73.7244444444444,17,39.8481481481481,76.2,13,16.1,23,0,51.7,17.1,11,84.4,49.6,12.8,70.8,41.3,41.9,73.4,72.9844444444444,93.7,89.4,63.7,62.1,9.7,89.6,26.2,73.4,51.4,76.3,1.1,88.1,67.9,70,47.8,46.9,0.2,4.5,46.2659259259259,80.9
0,69.9,34.9,74.3,18.5,0,0,82.3459259259259,73.7244444444444,12.8,39.8481481481481,65.2,34,18.5,62.6,0,37.5,22.7,23,0,63.4,12.3,100,2,31.8,0,72.9844444444444,26.5,100,0,28.1,49.1,62.5,27.2,51.5,73,86.9,0,88.5,65.7,0,66.5,32.1,24.3,0,46.2659259259259,55
92.9,42.6,74.3,25.2,71.3,98.4,77.6,82.3459259259259,73.7244444444444,3.4,39.8481481481481,54.2,34.1,31.5,56.5,50,58.8,85.2,14,55.6,55.7,66.2,29.1,94.4,100,97.7,72.9844444444444,62,79.7,98.7,85.1,39.6,35.9,61,60.6,63,0,13,99.1,36.2,77.6,48.5,74.5,2.9,100,46.2659259259259,94.9
95,53.7,64.2,29.4,88.1,92.6,85.1,82.3459259259259,73.7244444444444,1.6,39.8481481481481,56.5,41.6,34.2,61.5,20,78.6,92.4,6,68.9,75.9,100,25.9,86.4,91.5,94.4,72.9844444444444,80.7,96.6,100,65.7,74.5,75,58.3,88.6,88.7,40.2,10.5,99.4,89.7,89.2,46.2,100,27.7,93.7,46.2659259259259,100
91.6,53.1,0,26.1,67.6,15.4,27.3,82.3459259259259,73.7244444444444,4.5,39.8481481481481,90.6,6.5,6.9,7.1,10,10.8,52.7,21,57.8,0,52.1,75.8,45.2,56.1,69.7,72.9844444444444,93.7,100,64.6,26.5,88.1,52,24.5,89.2,71.4,37.4,1.4,86.5,77.8,97.8,35.9,74.8,11.3,9.4,46.2659259259259,24.8
93.7,89.8,81.7,82.9,87.1,43.3,73.5,82.3459259259259,73.7244444444444,2.2,39.8481481481481,40.6,51.5,46.1,78.3,100,100,100,1,73.3,100,93,17.9,100,99.6,100,72.9844444444444,41.8,100,65.9,100,96.1,41.9,100,53.1,99.5,73.5,100,99.8,88.2,93.4,95.6,86,100,68.1,46.2659259259259,35.4
96.6,54,51,29.2,90.1,11.3,6.1,82.3459259259259,73.7244444444444,5.1,39.8481481481481,80.8,31.1,15.4,36.9,50,42,22.4,16,62.2,60.4,46.7,31.8,48.4,39.9,60.6,72.9844444444444,87.4,39,58.9,46.7,51.6,56,29.5,84.7,61.8,44.3,0.8,79.3,44,98.6,32.5,34.1,0.5,5.5,46.2659259259259,73.3
0,63.0577563672242,45.7,9.2,26.6,2.4,0,86.8,97.3,18.9,11.1,79.6,31.1,3.5,30.1,0,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,95.5,47.9,63.9,39,31.8,96.3,100,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,16.4,53.3,0,100,0.2,78.66,61.4,59.8,49.5718518518519,62,22.0303703703704,26.837037037037,46.8,0
65.6878610968963,52.2831700929701,100,11.8,86.5,10.5,13.4,83.3,91.1,54.6,0,93.6,12.1,6.1,15.8,50,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,66.6,76.9,77,76,95.1,81.9,61.2,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,8,84.9,61.8,43.3,2.2,78.66,66.4,64.6,49.5718518518519,67.2,22.0303703703704,26.837037037037,34.9,34.4
81.3749957742433,57.2263290220973,83.4,16.2,32.6,13.2,14.1,97.6,92,0,77.8,81.2,17.7,17.3,33.8,20,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,40.7,89.4,92.1,80.8,73.9,94.8,57.7,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,25.5,0,72.1,52,6.2,78.66,48.7,96.5,49.5718518518519,8.3,22.0303703703704,26.837037037037,100,86.2
100,80.0303334674972,54.9,7.7,0,0,0,99.7,100,14.6,44.4,75.1,32.3,8.3,51.3,20,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,59.3,0,25.6,42.9,96.7,70.6,23.4,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,22.5,20.6,78.3,94.8,0.4,78.66,100,74,49.5718518518519,26.9,22.0303703703704,26.837037037037,16.8,68.3
63.8672308833302,40.9542473739292,41.9,45.3,70.6,12.4,3.3,75.5,74.1,36,11.1,89.5,5,6.6,16.6,20,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,15.6,90,89.5,87.8,72.5,91.9,100,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,17.4,55.8,75,44.6,14,78.66,56.3,92.9,49.5718518518519,61.5,22.0303703703704,26.837037037037,49.2,13.5
66.2126389708382,46.1960836538153,54.2,29.9,63.2,7.4,5,85.4,92,54.9,77.8,89.7,13.1,0.1,21.7,100,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,41.8,80.9,89.7,85.4,100,86.2,58.1,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,24.6,74.7,58.7,72.4,8.8,78.66,73.2,75.2,49.5718518518519,90.9,22.0303703703704,26.837037037037,41.8,21.9
66.4967615533863,87.1924006349257,19.1,100,85.7,45.3,67.3,100,83.9,5.3,55.6,0,100,100,100,100,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,78.2,73.3,0,91.1,94.9,88,100,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,69.1,100,76.5,23.9,26.1,78.66,84,84.6,49.5718518518519,100,22.0303703703704,26.837037037037,26.9,47.5
62.0277493750295,77.1849100070211,80.8,42.3,77.1,29.4,26,98.5,97.3,36.7,11.1,69.6,26.3,13.8,40.9,100,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,21.1,76.5,90.2,93,100,92.5,26,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,37.6,70.8,79.4,81.5,4.5,78.66,62.4,96.6,49.5718518518519,76.4,22.0303703703704,26.837037037037,52.3,28.5
64.6234866316789,59.5045809338531,58.3,54.3,100,31.3,40.9,79.6,66.1,5.3,66.7,69.2,19.3,8.9,39,100,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,28.2,65.8,82.2,78.9,77.4,92.1,63,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,45.7,72.7,74.7,29.1,4.4,78.66,44.8,79.4,49.5718518518519,46.3,22.0303703703704,26.837037037037,37.9,24.5
56.7962616633121,8.85638700032742,16.6,6.8,33,9.8,1.2,72.2,69.6,55.5,11.1,100,0,0.3,13.8,20,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,33.1,73.3,80,78.7,79.6,75.2,36.4,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,0,43.6,74.1,73.6,2.9,78.66,61.2,96.5,49.5718518518519,56.9,22.0303703703704,26.837037037037,39.5,8.1
64.1105347566387,59.1792829335928,76.4,40.5,79,41.8,32.2,88.3,87.5,23.1,88.9,73.5,19.9,12.3,34.1,100,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,33.6,88.5,88.4,93.6,100,88.4,56,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,42.8,66.7,73.7,63.5,16.9,78.66,19.1,92.2,49.5718518518519,42,22.0303703703704,26.837037037037,44,46
65.0170102228806,75.063248629812,90.4,43.4,87.4,37.6,65.1,65.8,0,2.4,0,61.8,27.7,28.5,34.8,30,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,32,80.6,87.6,87.6,98.6,95.1,63.5,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,37.6,85.2,72,37.2,2.2,78.66,45.4,96.5,49.5718518518519,85.2,22.0303703703704,26.837037037037,38.6,95.1
46.00184096738,38.4176901104036,71.1,37.5,66.8,28.6,21.1,83.5,75,21.7,100,62.8,24.3,21.4,32.4,30,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,59.9,77.9,86.1,81.5,94.9,88.3,84.4,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,37.2,71.7,71.4,91.4,4.9,78.66,27.4,99.2,49.5718518518519,70.4,22.0303703703704,26.837037037037,26.4,50
37.0932669182519,7.13237647139734,18.6,1.2,80.3,7.8,2.9,90.9,91.1,41.3,88.9,88.6,2.2,1.9,7.1,70,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,4.2,88.5,93,82.9,19.8,94,0,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,8.6,21.5,45.7,93.8,8.1,78.66,23.6,100,49.5718518518519,52.4,22.0303703703704,26.837037037037,28.7,20.1
65.4915101453315,27.9436107946978,80.2,36,77.4,19,12.9,24.4,96.4,75.2,66.7,83.3,19.4,0,13,80,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,38.9,75,75.4,76.4,96.7,96.9,59.4,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,24.9,89.2,88.2,58.6,1.6,78.66,67.3,97.6,49.5718518518519,42.3,22.0303703703704,26.837037037037,47.7,21.5
65.8584946312454,24.9738426687755,91,24.9,52.7,6.5,10.1,92.4,93.8,37.9,11.1,86.4,12.2,7.6,26.6,100,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,67.6,78.9,82.5,84.8,92.1,100,54,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,21.5,68.2,67.7,70.9,10.7,78.66,71.3,91.7,49.5718518518519,65.7,22.0303703703704,26.837037037037,56.1,45.2
63.1577353692294,31.7430341704318,48.4,11.8,63.3,4.7,0.7,69.9,66.1,12.3,0,96.9,12.5,1.9,0,100,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,15.1,21.6,78.5,60.7,44.6,88.1,14.7,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,22.4,59.8,66.7,70,1.2,78.66,50,78.3,49.5718518518519,0,22.0303703703704,26.837037037037,39.9,61.2
64.5604504626839,62.6959702713853,94.8,77.1,86.5,99,100,95.5,95.5,19,11.1,55,42,24.4,54.2,100,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,45,98.2,99.6,94.8,99.2,87.2,100,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,50.7,64.3,100,38.2,14.3,78.66,56.5,93.4,49.5718518518519,100,22.0303703703704,26.837037037037,35.9,77.7
65.0456698917135,100,85.4,45.9,59.4,15,36.4,99.4,94.6,18.8,55.6,37,56.4,46.6,81.3,20,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,32.9,92.5,97.5,96.1,56.8,82.2,100,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,49,71.1,49.5,33.7,25.5,78.66,0,88.7,49.5718518518519,100,22.0303703703704,26.837037037037,46.2,54.7
65.9299363861362,51.2500049145379,44,29.9,49.3,13.8,11.1,0,89.3,100,0,80.1,31.5,5.6,36.1,100,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,81.7,62.6,77.1,78.2,82.3,86.4,100,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,22.5,83.4,61.4,63.3,2.5,78.66,86.3,99.6,49.5718518518519,41.9,22.0303703703704,26.837037037037,30.7,57.1
22.3934333256547,0,65.5,0,31.9,37.6,30,82.9,84.8,26.1,66.7,77,8.3,4.7,14.4,0,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,90.3,57.6,71.4,73.4,92.1,96.8,100,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,23.4,65.9,56.8,79.3,0.7,78.66,69.4,69.3,49.5718518518519,77.5,22.0303703703704,26.837037037037,13,81
81.2160323802459,69.5062538209153,77.2,68.1,30,0,0,97.1,94.6,21.1,44.4,62.3,34.3,13.9,63.1,0,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,100,34.3,57,0,0,0,80.7,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,15.4,73.1,71,89.9,0,78.66,67.7,0,49.5718518518519,22,22.0303703703704,26.837037037037,0,53
65.5174348484273,50.3029987558664,79.2,22.9,71.3,100,79,94.9,96.4,15.2,0,53.4,32.5,24.3,52.1,50,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,28.7,99,100,98.3,94.5,91.8,88.9,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,61.4,79.3,61.5,0,10.2,78.66,37.7,80.4,49.5718518518519,82.8,22.0303703703704,26.837037037037,49.3,95.7
64.5071387991392,58.4445352636541,93.9,27.1,86.6,90.7,84.5,94.4,99.1,34.7,0,54.4,42.3,22.8,57.7,70,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,72.8,86.9,94,95.4,84.5,99.3,100,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,53.8,91.3,76.9,46.6,8.9,78.66,88.5,92.3,49.5718518518519,100,22.0303703703704,26.837037037037,44.4,100
63.906380418647,48.9083456333916,0,22.7,60.7,28.4,26.4,81.3,92.9,49.4,0,86.3,9.2,3,14.9,10,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,79.9,40,73.4,69.8,75.2,81.8,84.8,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,26.2,94.7,64.5,44.1,1,78.66,77.1,95,49.5718518518519,71,22.0303703703704,26.837037037037,35.9,24.9
65.8253910762172,94.1692447395139,91.2,77.1,85.7,38.4,71.5,99.9,97.3,6.4,100,34.7,54.1,40.6,76.2,100,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,0,100,99.8,100,92.1,80.1,73,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,100,42.9,95.1,80.8,100,78.66,82.9,91.4,49.5718518518519,90.4,22.0303703703704,26.837037037037,52.9,35.5
54.7670583988399,49.2391547803664,49.4,25.6,86.8,5.9,0.3,81.2,39.3,16.8,11.1,80.3,30.8,6.7,34.1,70,50.5348148148148,47.8148148148148,14.4222222222222,59.16,55.2614814814815,59.7874074074074,38.4,45.8,51.2,59.9,40.3,83.6,41.3,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,19.2,88.9,62.9,43.6,0.9,78.66,36.7,99.2,49.5718518518519,30.2,22.0303703703704,26.837037037037,0.4,73.4
0,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,94.1,73.7244444444444,22.8074074074074,62.5,77.4,34.3,4.1,25.5,0,50.5348148148148,47.8148148148148,18,53.5,48.2,71,38.517037037037,42.1,25.8,42.5,72.9844444444444,64.2,62.0733333333333,39.6,20.9,73.5,51.7,10.1,89.8,0,57.3792592592593,0.2,78.66,57.2,56.9,0,70.3,22.0303703703704,0,23.9,0
65.7,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,92.7,73.7244444444444,22.8074074074074,37.5,93.2,12.1,5.9,7.8,70,50.5348148148148,47.8148148148148,16,52.7,52.1,67,38.517037037037,66,53.7,76.9,72.9844444444444,68.6,62.0733333333333,54.7,37.2,0,1.4,8.9,100,64.6,57.3792592592593,3.6,78.66,48.9,61.4,82,95.2,22.0303703703704,10.4,39.4,25.6
81.4,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,98.5,73.7244444444444,22.8074074074074,75,88.9,17.7,18.2,29.2,50,50.5348148148148,47.8148148148148,20,59.5,62.3,64.2,38.517037037037,90.1,76.8,77.9,72.9844444444444,94.6,62.0733333333333,51.4,64.7,55.8,69.3,13.5,0,86,57.3792592592593,6.8,78.66,42,91.8,15.3,10.3,22.0303703703704,23,100,67.1
100,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,100,73.7244444444444,22.8074074074074,37.5,75.2,34.9,7,50.2,50,50.5348148148148,47.8148148148148,27,58.4,0,0,38.517037037037,0,0.9,46.2,72.9844444444444,29.8,62.0733333333333,78.3,0,92.5,23.9,12.2,15,86.5,57.3792592592593,0.3,78.66,96.8,70.4,37.2,28.5,22.0303703703704,0,9.8,32.7
63.9,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,86.2,73.7244444444444,22.8074074074074,0,96.3,0.4,7.3,6.3,70,50.5348148148148,47.8148148148148,23,37.1,39,68.2,38.517037037037,90.9,73.4,87.3,72.9844444444444,91.6,62.0733333333333,95.9,39.3,88.9,69.9,19,43.9,74.8,57.3792592592593,18.4,78.66,53.5,89.5,60.7,81.6,22.0303703703704,25.3,60.8,13.4
66.2,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,86.6,73.7244444444444,22.8074074074074,87.5,91.2,9.4,2.3,17.7,100,50.5348148148148,47.8148148148148,2,76.3,87.1,94.9,38.517037037037,82.7,78.5,85.5,72.9844444444444,65.4,62.0733333333333,54.7,27,35.4,0,28.7,75.4,63.9,57.3792592592593,8.7,78.66,53,81.6,57.7,92.9,22.0303703703704,36.2,57.2,24.8
66.5,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,99.9,73.7244444444444,22.8074074074074,50,0,100,100,100,80,50.5348148148148,47.8148148148148,5,71.6,91.8,73.4,38.517037037037,75,0,92.2,72.9844444444444,75.1,62.0733333333333,0,30.1,70.3,36,59.3,72.2,66.7,57.3792592592593,23.1,78.66,76.8,73.4,78.9,100,22.0303703703704,21.6,53.6,46.4
62,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,99.6,73.7244444444444,22.8074074074074,0,68.1,21.8,17.4,35.2,100,50.5348148148148,47.8148148148148,8,74.2,63.3,82.4,38.517037037037,94.1,78,93.5,72.9844444444444,93.1,62.0733333333333,82.1,66.4,17.3,49.9,36.8,68.2,81.5,57.3792592592593,4.8,78.66,45.4,92.3,64.3,74.8,22.0303703703704,31.1,38.5,27.9
64.6,42.1324526546096,55.8859259259259,33.917037037037,65.6207407407407,33.0385185185185,34.0933333333333,90.7,73.7244444444444,22.8074074074074,100,68.5,25.8,10.4,38.1,100,50.5348148148148,47.8148148148148,7,68.9,92.9,62,38.517037037037,64.1,56.3,79.8,72.9844444444444,93.2,62.0733333333333,79.9,39.3,69.2,97.5,38.8,68.6,70,57.3792592592593,4.4,78.66,36.2,72.1,57.5,54.1,22.0303703703704,19.7,52.4,19.9
