"AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","IN_IF","IN_PF","IN_BC","IN_IN"
33.2,25.7,49,31.3,60,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,65.8,27.3,34.2,35,10,62.2,30.3,8,60.6,86.6,52.5,48,88,67.6,79.3,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,49,23.5,66.7,81.3,6.3,92.9,22.1,92.2,37.9,61.4385185185185,12.4,1.6,88.6,44.422962962963
47.7,28.6,24.1,0,72.2,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,93.4,0,8.8,3.6,100,2.4,21.8,27,57.6,5.8,39.2,9.9,94.1,87.7,84,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,7.9,3.7,42.9,99.5,8.1,62.6,0,94.2,8.2,61.4385185185185,5.8,4.4,55.6,44.422962962963
59.6,35.2,47.4,32.9,76.5,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,88.9,31.3,4.7,11.5,100,19.7,41.5,17,75.8,21,70,30.8,86.9,56.2,75.9,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,25.3,97.6,88.6,52.8,2.2,99,52,100,62,61.4385185185185,39.7,3.6,100,44.422962962963
61.4,32.9,79.9,27.9,47.7,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,84.1,20.2,11.4,29,100,42.4,42,15,39.4,32.3,56.6,11.8,88.1,64.9,83.2,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,28.1,70.1,90.6,66.3,13.3,91.7,55,85.4,44.7,61.4385185185185,15.8,6.2,49.3,44.422962962963
57.9,26.8,26.9,8.5,55.6,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,95.1,24.6,0,0,100,39.6,26.2,19,84.8,27.1,63.2,20.4,40.3,52.5,57.8,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,28.3,36.9,81.5,74.6,1.5,49.5,43.1,79.4,39.6,61.4385185185185,7.6,0,25.5,44.422962962963
61.7,51.8,55.1,80.6,83.3,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,59.8,40.7,32.9,51.9,30,86.2,86.9,3,69.7,71.1,73.4,44.7,99.3,94.8,96.3,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,51.7,76.2,98.2,49.5,18.9,99.2,29.2,90.6,53.2,61.4385185185185,46.4,73.4,55.9,44.422962962963
62.5,23.1,88.6,35.1,90.5,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,58.6,51.7,48.4,72.4,80,62.5,98,11,51.5,47.8,64.6,1,98.6,92.3,95.5,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,59.2,64.6,52.3,43,37.7,99.2,0.3,81.6,63.5,61.4385185185185,26.5,38.9,50.7,44.422962962963
61.3,45.7,46.7,29,52.3,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,87.3,27.2,9.2,28.2,20,10,48.9,22,72.7,26.5,86.6,58.7,83.9,41.3,79,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,26.4,100,68.8,56.2,2.9,98.7,73.5,93.4,48.1,61.4385185185185,36.5,3.5,46,44.422962962963
0,11.5,34,0.8,40,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,80.4,10.9,12.6,17.9,50,73.1,18.8,14,100,15.8,43.9,52,57.7,14.1,70.5,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,29.2,50.9,51.8,73.3,1.5,96.9,65.3,70.3,61.7,61.4385185185185,0,0,38.3,44.422962962963
100,0,62,80.3,0,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,66.7,52.5,21.5,68,0,38.3,15.2,23,39.4,57.7,36.9,100,66.1,19.4,0,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,28.1,19.2,60.5,81.1,0,81.3,100,0,36.6,61.4385185185185,26.5,0,19.2,44.422962962963
