"Estado","Tipo","Ano","AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","IN_IF","IN_PF","IN_BC","IN_IN","IN_PC","PM_PB_TM","PM_PB_TX","PM_FT","SF_CI","SF_RO","SF_SF","SF_SO","SF_AU","SF_RP","SF_GP","SF_IL","SF_PC","SP_JC","SP_SC","SP_CC","SP_IH","SP_MT","SP_MO","SP_SG","SP_SP","SP_QI","SS_AM","SS_BE","SS_DS","SS_DS_AG","SS_DS_ES","SS_EV","SS_FM","SS_IE","SS_IH","SS_IJ","SS_MA","SS_MP","SS_SI","SS_DI","SS_OI","SS_CV","SS_ER","V1","V2","V3"
"Amapá","Normalizados",2018,100,51.1,59.2,6.2,12.4,NA,NA,NA,NA,NA,NA,75.9,48.2,9.5,59.6,0,NA,1.2,NA,44.4,43.9,0,NA,0,5.9,42.5,0,NA,NA,NA,NA,NA,NA,15.9,0,64.4,100,0.4,99.8,72.6,75.8,42.9,NA,4.1,0,19.7,NA,NA,0.1,0,69.8,0,NA,100,11.3,13.1,61.4,100,NA,100,50.9,NA,NA,95.8,100,90.8,15.3,27.2,NA,NA,NA,NA,30.8,7.8,10.5,27,0,NA,25.2,9.1,32.1,28.6,NA,NA,NA,NA,6.95231792385365,76.0546165563258,54.0215979293237
"Bahia","Normalizados",2018,64,9.6,34.7,52,83.2,NA,NA,NA,NA,NA,NA,91.7,1.9,8.1,11.3,0,NA,35.9,NA,30.6,15.3,67.5,NA,90.3,74.8,87.5,34,NA,NA,NA,NA,NA,NA,19,58.6,72.9,38.3,15.4,75.6,66.8,88.7,55.5,NA,25.2,13.5,44.5,NA,NA,12.2,16.4,15.6,46.4,NA,76,83.3,67.5,32.5,61.7,NA,42.6,5.1,NA,NA,16.5,75.8,92.2,41.6,70.7,NA,NA,NA,NA,78,57.8,67,19.4,16.5,NA,34.1,76.4,26.8,55.8,NA,NA,NA,NA,31.7411973028152,32.4946747989417,80.6632938537643
"Ceará","Normalizados",2018,64.5,29.9,46.9,34.8,68.2,NA,NA,NA,NA,NA,NA,93.8,9.5,3,16.9,100,NA,44.6,NA,83.3,75.1,78.1,NA,82.6,79.1,84.8,95.3,NA,NA,NA,NA,NA,NA,23.6,88.7,61,78.9,9.5,92.7,74.4,93.9,42.3,NA,21,15.2,35.2,NA,NA,6.3,35.6,21.7,100,NA,78.6,73.3,60.3,28.2,77.9,NA,54.2,19.2,NA,NA,55.5,62.2,80.3,24.2,58,NA,NA,NA,NA,68.7,42.5,72.9,18,71.8,NA,23.5,61.3,21.6,71.6,NA,NA,NA,NA,42.8988761822521,14.2316922056672,29.1036748893108
"Distrito Federal","Normalizados",2018,68.9,100,26.8,100,90.1,NA,NA,NA,NA,NA,NA,0,100,100,100,10,NA,86.2,NA,41.7,71.8,48.6,NA,78.7,0,90.2,99.5,NA,NA,NA,NA,NA,NA,100,69.3,65.5,37.8,25.9,95.9,71.8,92.3,71,NA,1.6,22.5,23.8,NA,NA,10.8,63,38.8,15.8,NA,87,44.2,100,30.7,66.2,NA,36.1,41.6,NA,NA,91.1,82.8,91.6,87.6,0,NA,NA,NA,NA,98.6,93.8,64.2,80.5,56.8,NA,62.5,79.7,86.9,79.9,NA,NA,NA,NA,70.8943015498259,97.5893244302369,33.7988566762931
"Espírito Santo","Normalizados",2018,62.5,45.7,100,46.2,78.4,NA,NA,NA,NA,NA,NA,72.6,25.6,20.2,42.5,100,NA,80.7,NA,66.7,38.2,76.7,NA,95.4,79.9,91.1,89.3,NA,NA,NA,NA,NA,NA,31.5,64.6,80,83.3,4.9,98,35.1,97.3,64.7,NA,6.7,20.9,30.2,NA,NA,5,51.5,25.8,30.3,NA,93.2,49.7,58.4,40.6,87,NA,77.2,41.4,NA,NA,49.7,53.3,80.7,63.8,72.2,NA,NA,NA,NA,80.5,83.6,79.1,49.2,70.7,NA,55.1,72.9,58.9,84,NA,NA,NA,NA,55.3376772233713,21.2566177871214,38.3025557898963
"Goiás","Normalizados",2018,63.9,29,51.6,51.1,100,NA,NA,NA,NA,NA,NA,71.7,25.8,15.8,43.5,100,NA,58.4,NA,63.9,65.1,49.4,NA,70.4,72.5,82,89.3,NA,NA,NA,NA,NA,NA,42.5,78.9,69.3,18.3,5.7,95.3,36.6,60.9,46.3,NA,27.9,7.9,48.5,NA,NA,8.4,31.8,36.9,27.3,NA,65.2,75.9,81.7,34.8,64.3,NA,39.3,32.9,NA,NA,85.3,42.2,83.7,50.4,43.2,NA,NA,NA,NA,84.2,56.1,67.8,52.3,86,NA,81.3,65.7,45.1,68.8,NA,NA,NA,NA,51.5375622294342,27.3695319093369,27.9500425442536
"Maranhão","Normalizados",2018,48.4,0,11.6,7.1,28.7,NA,NA,NA,NA,NA,NA,100,0,3.4,9.4,10,NA,3.3,NA,47.2,44.2,71.8,NA,75.2,60.5,78.1,47.9,NA,NA,NA,NA,NA,NA,0,24.4,88.3,81.7,2.7,78.9,40,99.2,41,NA,14,3.3,48.2,NA,NA,3.8,37.7,31.6,58.6,NA,79.9,68.5,40.4,19.7,67.1,NA,17.7,0,NA,NA,96.6,54,89.2,72.4,59.9,NA,NA,NA,NA,51.1,18.2,56,0,41.7,NA,0,35,70.8,54.3,NA,NA,NA,NA,14.7179755954662,26.3453308550129,85.1768669400228
"Minas Gerais","Normalizados",2018,65.1,26.9,74.9,39.5,85.7,NA,NA,NA,NA,NA,NA,76.7,22.2,15.4,32.9,80,NA,95.2,NA,94.4,83.1,75.3,NA,92.5,84.7,92.2,37.5,NA,NA,NA,NA,NA,NA,40.1,75,66.6,70,23.9,94.4,25.8,94.2,52.6,NA,8.8,41.2,38.6,NA,NA,26.1,36.5,10.9,0.3,NA,28.2,74.4,90,25.5,27.2,NA,0,43.3,NA,NA,54.6,69.5,85.4,89.7,84.9,NA,NA,NA,NA,86.1,87.6,90,58.5,75,NA,65.1,86.1,85.8,83.3,NA,NA,NA,NA,57.5486921715374,19.934423964597,52.5760814870872
"Mato Grosso do Sul","Normalizados",2018,59.8,51.8,27.6,44.6,92.4,NA,NA,NA,NA,NA,NA,65.1,33.2,28.9,35.2,70,NA,46.6,NA,66.7,54.2,74.3,NA,80.7,75,85.8,100,NA,NA,NA,NA,NA,NA,52.8,84.8,75.1,36.7,2.8,98.4,63.3,97.6,60.4,NA,12.9,7.8,100,NA,NA,4.1,80.4,28,73.9,NA,72.8,30.9,71.7,40.4,38.9,NA,47.5,100,NA,NA,77.8,47.1,79.9,85.8,86.6,NA,NA,NA,NA,84.4,48.1,76.9,63.8,95.3,NA,70.2,51.8,72.9,78.6,NA,NA,NA,NA,52.9562404470115,29.5096159382289,40.8523242780093
"Mato Grosso","Normalizados",2018,35.1,22,67.4,32.6,63.7,NA,NA,NA,NA,NA,NA,64.6,32.2,36.2,34.7,0,NA,25.8,NA,50,86.4,61.1,NA,85.1,75.8,80.4,78.9,NA,NA,NA,NA,NA,NA,47.4,63.7,64.9,88.3,6,92.6,36.8,99.2,55.4,NA,10.4,4.6,39,NA,NA,5.9,68.9,32.1,17.1,NA,84.1,63.7,76.1,30.4,35.3,NA,35.6,36.9,NA,NA,78.4,0,72.8,66.8,71,NA,NA,NA,NA,68.6,32.6,56.9,57.2,95.9,NA,60.6,58.7,58.1,71.4,NA,NA,NA,NA,39.663908370784,43.971857530991,77.1795435782457
"Pará","Normalizados",2018,46.7,15.3,23.9,0,76.1,NA,NA,NA,NA,NA,NA,92.7,2.2,5.4,5,80,NA,18.3,NA,38.9,18.9,40,NA,89.7,86.1,82.2,40.5,NA,NA,NA,NA,NA,NA,8.8,10.4,57.2,99.4,7.5,63.8,10.4,97.6,32.2,NA,4.8,3.8,29.5,NA,NA,6.4,69.6,43.3,87.1,NA,95.4,94,58.9,19.8,63.2,NA,50.8,8.8,NA,NA,81.1,66.3,89.8,21,16.5,NA,NA,NA,NA,12.3,9.3,39.4,0.2,71,NA,36.4,39,33.6,46.6,NA,NA,NA,NA,20.990844768811,9.56355091282247,67.1848628399801
"Paraíba","Normalizados",2018,64,24,56.4,41,82.7,NA,NA,NA,NA,NA,NA,89.3,18.3,2.8,0,100,NA,40,NA,58.3,33.2,64.7,NA,78.4,56.8,74,41.9,NA,NA,NA,NA,NA,NA,28,93.5,89.7,56.1,1.9,98.3,56.7,100,45.2,NA,25.3,9.6,51.5,NA,NA,2.3,28.5,20.5,38.8,NA,88.1,69.4,36.8,43.1,71.4,NA,56.7,37.5,NA,NA,93.9,45,86.9,63.6,92,NA,NA,NA,NA,61.2,50.8,85.2,19.5,65.3,NA,25.7,75.2,59.9,78.5,NA,NA,NA,NA,39.6191286901817,15.7939567241868,27.7069358669716
"Pernambuco","Normalizados",2018,66.9,15.6,52.5,26.3,52.6,NA,NA,NA,NA,NA,NA,85.9,21.4,9.8,30.4,100,NA,40.6,NA,66.7,40.2,66.3,NA,84.5,67,83.7,93.4,NA,NA,NA,NA,NA,NA,27.3,89.6,82.9,67.2,14,82.1,73,92.3,45.5,NA,13.9,9.1,49.8,NA,NA,7.6,24.3,23.8,14.6,NA,77.1,100,63.7,38.7,40.5,NA,43,33,NA,NA,32.4,64.2,92.3,39.7,36.3,NA,NA,NA,NA,64.3,56.5,73.2,31.7,31.2,NA,10,72.5,39.5,59.4,NA,NA,NA,NA,40.8356240880606,19.4653936690752,30.3018786970975
"Piauí","Normalizados",2018,54.4,6.5,30.4,10,51.5,NA,NA,NA,NA,NA,NA,98.1,13.6,0,1.4,100,NA,21.2,NA,77.8,32.9,62.8,NA,10.9,57,62.2,74.2,NA,NA,NA,NA,NA,NA,25.2,31.5,71.2,79.2,1.2,71.1,26.4,80.2,52.9,NA,6.5,3.3,33.3,NA,NA,1.6,64.1,14.1,57.9,NA,81.2,69.3,32.9,0,33.2,NA,46.1,27.6,NA,NA,63.4,8,61,83.5,47.1,NA,NA,NA,NA,79,0,73.3,6.2,55.5,NA,34.8,37,68.2,43.8,NA,NA,NA,NA,20.1484219260123,17.1993329274175,30.1437097584684
"Paraná","Normalizados",2018,67.6,40.7,42.8,80.5,88.4,NA,NA,NA,NA,NA,NA,59.6,42.4,31,54.5,20,NA,82.5,NA,75,74.4,75.9,NA,99.2,96.3,94.7,51.5,NA,NA,NA,NA,NA,NA,56.7,86.9,98.9,41.1,18.1,96.5,41.5,91.5,55.2,NA,39.9,60.8,30.4,NA,NA,19.4,47.6,13.4,20.2,NA,86,37.8,84.2,31.9,62,NA,54.3,37,NA,NA,76.4,45.1,86.8,79.4,72,NA,NA,NA,NA,89.5,73.2,86.9,78.6,88.7,NA,70.7,95.3,70.9,84.8,NA,NA,NA,NA,65.771490376051,42.9268556158374,72.1179719850392
"Rio de Janeiro","Normalizados",2018,66.9,32.3,78,30.9,94.1,NA,NA,NA,NA,NA,NA,55.5,57.6,39,80.5,30,NA,96,NA,47.2,56.1,65.3,NA,87.9,91.6,93.2,31.5,NA,NA,NA,NA,NA,NA,53.7,56.8,52.1,45.8,33,100,0,89.2,71.4,NA,21.8,47.9,37.2,NA,NA,30.5,23.8,8,4.7,NA,0,38.8,99.3,35.4,48.2,NA,36.6,13.9,NA,NA,35,85,95.6,48.1,9,NA,NA,NA,NA,87,95,87.5,71.1,36,NA,52.7,73.2,39.3,67.5,NA,NA,NA,NA,62.7632102703825,44.4033810494999,79.0831467510389
"Rio Grande do Norte","Normalizados",2018,65.8,34.4,40.2,30.3,55.5,NA,NA,NA,NA,NA,NA,89.1,28.4,7.5,28.8,80,NA,52.4,NA,72.2,15.6,75.3,NA,66.6,39.3,100,77,NA,NA,NA,NA,NA,NA,25.6,100,71.8,61.1,3,91,98.6,93.9,38.5,NA,19.2,9.4,23.9,NA,NA,2.3,25.1,28.2,42.7,NA,90.2,0,39.9,37.4,78,NA,89.5,12.9,NA,NA,51.3,71.5,88.6,19.7,61.8,NA,NA,NA,NA,79.4,19.6,73.6,31.2,46.8,NA,12.8,81.9,21.8,76.8,NA,NA,NA,NA,37.2294405570834,29.4279195181977,22.9986797843795
"Rondônia","Normalizados",2018,0,8.6,38.8,0.2,35.2,NA,NA,NA,NA,NA,NA,76.4,14.3,12.8,13.2,30,NA,8.6,NA,100,51.8,27.5,NA,32.8,26.5,68.8,77,NA,NA,NA,NA,NA,NA,30.3,60.4,57.5,73.9,1.5,91.2,92.4,71,55.4,NA,1.2,3.4,26.1,NA,NA,1.4,37.3,33.2,49.5,NA,82.5,57.7,43,40.7,79.5,NA,73.7,61.4,NA,NA,93.9,43.7,73.8,73.7,8.5,NA,NA,NA,NA,0,3.3,59.7,45,80.3,NA,44.8,94.6,75.4,73.8,NA,NA,NA,NA,16.5042658772671,43.5853535057362,42.3784689062648
"Roraima","Normalizados",2018,89.3,42.5,34,72.5,0,NA,NA,NA,NA,NA,NA,67,50.3,14.1,62.3,0,NA,18.9,NA,0,72.4,39.3,NA,61.3,11.8,0,15.3,NA,NA,NA,NA,NA,NA,26.2,15.8,72.6,82.8,0,80.4,100,0,56.7,NA,20.9,0,11.2,NA,NA,0,100,100,4.6,NA,88,7.9,0,100,78.6,NA,55.1,28.5,NA,NA,0,56.6,0,0,61.7,NA,NA,NA,NA,80.2,38.7,0,32.5,43,NA,35.8,1.7,0,0,NA,NA,NA,NA,15.5050295152564,90.8561795173424,47.3205656838474
"Rio Grande do Sul","Normalizados",2018,66.3,18.2,79.5,25.3,76.1,NA,NA,NA,NA,NA,NA,58.2,30.7,32.3,52.6,50,NA,82.4,NA,66.7,52.8,66.5,NA,94.7,99.3,95.5,91.2,NA,NA,NA,NA,NA,NA,54,69,64.9,0,13.3,96.8,37.4,84.1,56.3,NA,3.3,100,41.3,NA,NA,20,48.7,0,7.7,NA,15.3,85.6,90,33,0,NA,22.9,2.6,NA,NA,88,70.3,100,78.3,52.4,NA,NA,NA,NA,88.5,73.5,100,81.8,91.8,NA,67.7,100,73.9,92.6,NA,NA,NA,NA,63.8815232843474,31.1270145081106,77.685766576845
"Santa Catarina","Normalizados",2018,67,14.2,85.9,25.1,89.8,NA,NA,NA,NA,NA,NA,59.1,42.6,31.1,60.1,10,NA,92.4,NA,69.4,84.1,98,NA,87.5,91.5,92.2,93.4,NA,NA,NA,NA,NA,NA,56.4,83.6,95.4,50,10.9,97.6,73.7,93,50.8,NA,21.2,94.4,38,NA,NA,12.6,67,24.3,30.8,NA,65,69.2,82.7,33.4,62.5,NA,40.9,35,NA,NA,88.3,53.4,84.9,93.4,100,NA,NA,NA,NA,77.3,58.4,88.6,100,100,NA,100,98.2,84.3,100,NA,NA,NA,NA,65.7485551245472,41.2070745730578,80.2300638777629
"Sergipe","Normalizados",2018,64.9,34.5,0,30.4,57.3,NA,NA,NA,NA,NA,NA,89.7,19.2,7.6,13.3,0,NA,45.6,NA,52.8,0,62.4,NA,52.5,44.6,70.1,28.5,NA,NA,NA,NA,NA,NA,18.7,85.7,73.4,38.1,1.4,86.6,66,95.5,34.6,NA,6.5,7.5,35.9,NA,NA,1.3,12,31,26.6,NA,82.9,88.5,28.3,34.2,56,NA,39.9,10.8,NA,NA,60.3,61.7,86.6,29.9,43.7,NA,NA,NA,NA,81,54.1,57.2,28.4,34.5,NA,25.9,71.9,33,33.4,NA,NA,NA,NA,22.8562612293535,41.600433237481,62.5912371970868
"São Paulo","Normalizados",2018,68.2,54.3,78.7,74.9,91,NA,NA,NA,NA,NA,NA,42.5,54.9,45.5,80.4,100,NA,100,NA,88.9,100,100,NA,100,100,98,76.4,NA,NA,NA,NA,NA,NA,85.6,69.3,100,76.1,100,99.6,84.5,94.1,100,NA,100,69.6,43.9,NA,NA,100,35.3,17.5,25.7,NA,33.3,92.8,98.3,41.9,65.1,NA,48.5,75.1,NA,NA,27,92.9,88.3,100,68.2,NA,NA,NA,NA,100,100,93,75.5,54.1,NA,52.4,84.2,100,82.8,NA,NA,NA,NA,90.6286187941241,40.7234044365499,34.4484961356652
"Tocantins","Normalizados",2018,32.6,7.1,52.5,30,89.3,NA,NA,NA,NA,NA,NA,80.2,28.7,12.9,38.5,80,NA,7.5,NA,86.1,68.1,73.7,NA,43.3,22,63.6,69.6,NA,NA,NA,NA,NA,NA,30.5,72,61.9,32.8,0.9,57.4,32.8,96.4,32.8,NA,0,4.4,0,NA,NA,1,73,40.2,16.4,NA,88.4,31.6,21.9,24.8,33.6,NA,30.8,30.1,NA,NA,84.1,3,84.2,69.3,80.8,NA,NA,NA,NA,71.9,27.7,59,30,68.7,NA,37.2,98.1,45.3,68.3,NA,NA,NA,NA,31.6944234399396,31.5420195100737,25.1058944494167
"Acre","Normalizados",2019,51.5,55.6,57.6,8.7,29,1.4,14.7,NA,NA,6.8,NA,81.1,34.4,9.4,29.6,30,56.5,9.2,12,40,51,19.9,51.4,48.9,36.7,46.1,NA,53.4,48.2,11.5,42.4,40.2,94.7,20.9,23.8,0,100,0.4,1.7,58.5,60.4,1.5,66.9,0,13,NA,0,42.1,0.1,30.3,69.2,15.1,61.7,77.3,71.5,0,47.6,41.7,97.6,38.9,NA,62.6,69.7,96.8,81.5,80.9,8.1,53.1,NA,27.6,32.8,37.4,17.1,36.7,34.5,38.2,25.1,NA,17.9,58.5,40.4,29,NA,NA,NA,71.4,5.37622946685407,53.2442192884454,50.910687813831
"Alagoas","Normalizados",2019,93.4,39.2,36.2,11,98.7,6.2,11.1,NA,NA,0,NA,92.2,9.2,11.9,8.2,80,42.1,28.6,19,64.4,29.6,49.9,32.8,77.1,62.1,78.8,NA,100,47.6,54.8,46.5,55.8,35.3,7.1,95.2,59.8,37.4,2.4,94.2,68.3,65.2,100,70.1,2.8,0,NA,59.7,51.7,1.8,38.2,25.9,95.8,94.6,71.5,51.3,22.7,33.7,68.8,71.2,58.9,NA,42.6,55.5,99.8,55.6,92.5,17.9,85.3,NA,55.3,31.9,68,65.3,43.6,66.2,47.5,25.8,NA,2,62.9,36.2,58.4,NA,NA,NA,19,34.7404520952164,19.2755311357288,27.3877387390224
"Amazonas","Normalizados",2019,100,59,70.5,25.3,12.5,26.5,11.9,NA,NA,7.6,NA,86.4,20.3,19.5,41.5,0,30.7,0,20,55.6,47.4,5.6,50.2,86.3,84.6,78.1,NA,88.6,99.7,22.9,39.1,60,64,22.5,4,75.1,49.2,4.7,21.9,40.5,97.4,0,20.2,27.2,21.1,NA,79.3,43.6,4,62.4,64.8,41.4,39.3,87.4,73.9,60.5,29.1,85.2,88.2,39.2,NA,57.6,32.3,100,96,100,39.6,87.2,NA,42.1,55.4,25.9,55.6,45.9,26.6,16.7,32,NA,34.1,23,19.3,29.5,NA,NA,NA,0,20.9579291974211,49.4031697906928,100
"Amapá","Normalizados",2019,99.2,72.9,74.1,6.6,0,5.7,0,NA,NA,16.4,NA,79,26.9,8.6,45,0,0,3.3,25,48.9,55.4,0,74.9,6.9,15.9,37.6,NA,32.8,57.4,81.8,0,67.5,86.8,20.8,10.8,56.3,93.6,0.4,49.8,96.9,74.8,34.9,36.4,5.1,0,NA,68.8,17.3,0.1,4,79.1,13.4,42.7,100,0,5.9,51.2,96.2,94.7,100,NA,66.3,80.2,94.8,94.5,91.1,17.6,83.7,NA,0,72.5,46.9,17.6,12.6,9.3,27,6.2,NA,31,80.8,0,7.9,NA,NA,NA,98.1,0,76.1319664749643,50.1544202869803
"Bahia","Normalizados",2019,94.5,34.4,48.8,48.7,75.2,14.4,2.7,NA,NA,12.9,NA,92.8,4.9,8.7,18.5,10,11.9,36.5,24,55.6,25.5,55.5,27.1,89.3,78.7,86.7,NA,64.5,100,98.1,47.9,100,0,20.6,53.1,68.7,39.4,14.4,82,69.7,94.6,49.3,53.3,40.3,11.9,NA,13.4,39.7,11.9,1.4,17.4,68.6,73.2,75.8,83.1,58.6,26.4,55.7,89.9,33.1,NA,0,99,62.5,68.1,89.8,10.7,87.3,NA,69.8,42.5,12.9,77.9,57.6,68.8,24.5,0,NA,41.1,72.3,1.7,49.9,NA,NA,NA,39.5,33.4854543611802,31.8751137689305,79.3261298369719
"Ceará","Normalizados",2019,92.4,49.3,47.5,32.6,69,6.8,7.3,NA,NA,2.3,NA,90.3,11.7,4.5,19.9,100,84.1,49.6,5,77.8,72.6,53.6,18.2,84.4,83,85.6,NA,68.2,37.2,40.1,49.8,0,27.4,19.3,74.8,54.5,72.7,9.3,96.4,87.3,81.9,37.6,84.2,31.8,11.4,NA,24.9,55.1,6.4,35,24.5,100,77.4,79.2,60.7,52.3,28.3,83.4,77,47.4,NA,6.9,48.3,62.4,71.4,77.5,43.4,87.7,NA,76.2,56.5,3.4,65.5,47.5,81.3,27.3,57.2,NA,30.7,65,50.1,68.5,NA,NA,NA,23.3,42.2875200942335,16.6439637672302,22.0516435752951
"Distrito Federal","Normalizados",2019,94.4,100,25.8,100,93.5,54.3,72.8,NA,NA,1.7,NA,0,100,100,100,100,82.6,89.3,3,71.1,77.8,27.5,63.3,81.1,0,90.6,NA,50.5,97.1,63.4,23.6,46.4,69.4,77.3,59.7,74.1,37.4,22.8,95.2,71.5,82.7,68.7,100,8.5,13.3,NA,66.5,100,10.6,30.8,43.4,20.8,19,84.9,50.1,92,24.4,75.1,0,29.2,NA,87.9,65.4,97.6,88.4,90,78.6,26.4,NA,100,100,0.7,98,94.6,68.7,91.5,35.5,NA,77.6,100,88.9,91.5,NA,NA,NA,53.3,79.8941644944373,89.7089447381781,0.0754080367449006
"Espírito Santo","Normalizados",2019,89.7,58.1,72.9,43.3,81.9,28.4,39,NA,NA,11.3,NA,69.6,34.7,18,45.3,100,76.3,85.5,7,48.9,47.6,66.3,35.2,96.4,80.3,92.1,NA,100,67.9,87.6,75.7,87,97.3,39.1,79.7,69.8,80.7,5,98.2,50.6,94.9,59.2,73.9,11.3,31.7,NA,28.5,71.9,4.7,8.4,30,58.1,78.4,92.2,61.7,53.3,36.4,100,100,68.2,NA,42.6,83.1,78.6,52.6,79.4,41.6,64.7,NA,84.4,91.8,41.5,78.3,83.4,79.8,60.6,55.2,NA,43.9,69.1,38.4,83.3,NA,NA,NA,43.8,60.4828202808012,25.1936892225207,39.5990048960564
"Goiás","Normalizados",2019,92.7,37.5,55.3,57.5,100,24.4,41.9,NA,NA,0.4,NA,71.1,23.5,17,44.5,100,83.9,64.7,8,77.8,75.1,28.8,26.3,70,73.4,82.7,NA,67.9,48.3,67.8,59.1,88.8,81.9,55.3,76.5,74.7,32,5.5,91.7,36.8,69.9,56.5,52.7,25,19.1,NA,24.5,35.6,8.4,37.4,42.4,0.5,48.1,70.3,61.6,74.6,32.9,39.3,0,17.7,NA,21.8,78.5,92.4,42.8,75.3,41.9,59.5,NA,75.6,85.3,83.7,81.5,63.4,70.4,61.2,54.2,NA,59.2,55.4,28.3,58.1,NA,NA,NA,78.6,56.3429580982257,28.9744952341649,25.3961570666073
"Maranhão","Normalizados",2019,81.8,24.3,6.9,7.8,31.8,21.8,25.2,NA,NA,100,NA,100,0.2,3.7,11,10,10.8,7.3,26,62.2,54,53.7,20.1,71.4,63.6,77.4,NA,48.9,36.4,43,29,59,81.8,0,36.5,69.9,74.2,2.6,87.3,41.4,97.4,27.4,35,16.8,4.1,NA,8.1,32.5,3.6,37.1,35.8,66.1,100,82.6,12,20,24.2,65.1,17.5,33.5,NA,35.7,96.8,98.9,56.9,87.6,55.5,96.1,NA,49,0,37.4,48,16.4,57.8,9.3,38.7,NA,0,39.9,69.5,48.9,NA,NA,NA,50.5,10.3758744317097,23.7960098501897,73.7256776401368
"Minas Gerais","Normalizados",2019,92.6,61.9,74.9,44.7,83.2,44.9,29.5,NA,NA,2.3,NA,76.3,18.8,15.9,38.2,100,72.2,94.5,2,100,83.7,61.9,31.5,94.5,84.7,93.4,NA,82.4,54,100,75.7,18.9,69.7,46.7,62.5,69.7,67.5,23.4,98.3,21.9,91.7,37.5,29.1,10.9,51.4,NA,43,56.4,25.8,25.9,12.3,11.4,86,31.3,67.4,79.3,25.2,26.9,0,8.9,NA,27.2,79.6,76,69.5,83,79.6,81,NA,95,87.7,55.1,85.4,87.2,89.9,65.2,62.8,NA,60.6,81,80.6,77.6,NA,NA,NA,44.3,63.8596463554118,16.7545892248606,44.4787658073773
"Mato Grosso do Sul","Normalizados",2019,90.9,70.3,87.9,47.4,91.6,36.9,59.4,NA,NA,20.6,NA,63.3,37.4,29.9,42.7,80,51.3,46.5,13,71.1,52.1,57.3,29.9,77.7,79.6,86.9,NA,76.1,60.3,40.4,44.6,17.6,100,52,88.3,80.5,34.8,2.7,98.8,61,96.6,55.5,70.5,16.2,9.2,NA,94.9,36.5,4,62.4,32.7,83.9,93.4,76.3,63,55.7,28.5,45.4,34,41,NA,69.8,67.5,89.6,34.9,62.8,65.4,75,NA,89.1,94.5,55.1,83.4,51.2,75.8,67,89.3,NA,73.1,64,62.5,80.5,NA,NA,NA,58.6,58.8664334641285,36.7230470042333,32.3283634475523
"Mato Grosso","Normalizados",2019,68.9,28.4,61.9,42.4,65.7,25.7,15.5,NA,NA,23.8,NA,64.6,24.5,33.2,39.1,80,45.2,32,9,44.4,79.5,57.5,38.6,83.6,77.6,81.3,NA,51.8,61.6,38.9,43.3,38.1,81.5,48.1,73.7,67.7,91.2,5.6,95.9,31.2,98.6,45.3,46.4,15,5.8,NA,50,36.3,5.6,100,37,32.1,62.6,90.2,45.5,67.8,32.3,40.3,0,49.6,NA,9.4,92.6,92.3,3.6,69.3,42.6,82.6,NA,78.9,92.8,84.4,67.2,36.5,54.3,67,90.9,NA,71.9,44.7,39.1,65.2,NA,NA,NA,69.5,43.0084316106333,31.125283972931,39.9232422217506
"Pará","Normalizados",2019,52.9,13.1,45,0,75,12.2,4.3,NA,NA,57.4,NA,92.4,0,8,6.1,50,1,20.6,27,48.9,26,21.8,13.1,89.8,88.1,82.8,NA,74.6,19.2,48.7,37.1,78.7,67.9,9.6,0,46.4,96.1,7.6,0,0,99.4,26.3,52.5,8.4,3.7,NA,20,44.5,6.8,42.9,49.3,62.7,47.9,94.8,88.2,51.1,27.9,73.8,89.2,49.8,NA,58.1,70.7,90.8,66.7,88.1,15.4,93.8,NA,15,64.3,29.3,6.3,12.5,41.4,0,65.6,NA,29.8,27.1,30.1,37.1,NA,NA,NA,48.1,12.1299746193933,6.36387407709616,82.130328314994
"Paraíba","Normalizados",2019,92.3,48.1,60,37.6,78.5,23.5,12.9,NA,NA,38.2,NA,88.7,21.1,4.9,10.7,100,27.8,48.3,18,71.1,23,53.2,6.2,76.5,59.1,75.3,NA,57,2.1,81.2,48.4,9.4,41.5,24,92.6,80.6,59.8,1.8,98,62.1,100,52.6,31.5,38.2,9.5,NA,21.3,73.3,2.3,11.7,22.5,41,50.5,89.3,62.5,26.4,31.4,59.1,80.8,46.5,NA,47.7,83.6,98.6,50.8,78.6,46.8,100,NA,73.6,46.9,8.8,60.1,49.5,86.1,26.3,38.9,NA,25.8,59.1,63.9,64,NA,NA,NA,81.9,37.8486597772109,10.4829189890865,15.3745409365495
