"Estado","Tipo","Ano","AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","IN_IF","IN_PF","IN_BC","IN_IN","IN_PC","PM_PB_TM","PM_PB_TX","PM_FT","SF_CI","SF_RO","SF_SF","SF_SO","SF_AU","SF_RP","SF_GP","SF_IL","SF_PC","SP_JC","SP_SC","SP_CC","SP_IH","SP_MT","SP_MO","SP_SG","SP_SP","SP_QI","SS_AM","SS_BE","SS_DS","SS_DS_AG","SS_DS_ES","SS_EV","SS_FM","SS_IE","SS_IH","SS_IJ","SS_MA","SS_MP","SS_SI","SS_DI","SS_OI","SS_CV","SS_ER","V1","V2","V3"
"Minas Gerais","Normalizados",2017,58,49.6,85.1,40.4,81.2,NA,NA,NA,NA,NA,NA,76.6,26.7,18,40.2,100,78.2,95.9,2,90.9,78,68.8,38.3,96.1,85.6,93.8,NA,NA,NA,NA,NA,NA,NA,36.4,70.4,78.2,78,23.2,97.8,14,92.1,40.7,NA,21.1,44,53.2,NA,NA,26,8,17.9,4.6,NA,31.7,72.6,83.8,20.5,NA,NA,NA,49.4,30.9,64.2,9.9,73.7,NA,84.5,90.7,60.3,NA,80.6,57.1,85.6,87.9,91.9,63.2,65.1,62.3,68.7,88.7,76.1,80.2,NA,NA,NA,NA,62.6664580373981,17.5904690590791,45.9897427586812
"Mato Grosso do Sul","Normalizados",2017,56.7,56.7,73.5,45.1,87.3,NA,NA,NA,NA,NA,NA,65.5,34.9,28.7,40.6,50,63.8,51.7,13,87.9,30.9,68.2,23.4,84.8,69.6,85.5,NA,NA,NA,NA,NA,NA,NA,52,69.5,61.6,35,2.9,97,34.5,93.8,50.5,NA,12,8.7,44.4,NA,NA,3.7,54.2,44.4,79.3,NA,73.5,54.1,64.6,0,NA,NA,NA,96.4,78,56,78.5,55.9,NA,82.4,97.2,30.6,NA,92.4,62.3,83,38.6,77.8,65.1,91.8,49.7,83.2,68.9,70.9,88.7,NA,NA,NA,NA,51.5445327043618,33.9681557949255,51.8764853704157
"Mato Grosso","Normalizados",2017,33.2,25.7,49,31.3,60,NA,NA,NA,NA,NA,NA,65.8,27.3,34.2,35,10,62.2,30.3,8,60.6,86.6,52.5,48,88,67.6,79.3,NA,NA,NA,NA,NA,NA,NA,49,23.5,66.7,81.3,6.3,92.9,22.1,92.2,37.9,NA,12.4,1.6,88.6,NA,NA,5.1,71.7,47.1,48.2,NA,85.7,73.8,70.2,31.5,NA,NA,NA,19.5,25,77.4,73.1,26.5,NA,63.8,100,76.4,NA,91.6,80.1,68.8,24.8,54,63.2,92.3,54.5,87,47.9,56.6,65.9,NA,NA,NA,NA,37.882945382648,41.5907009277937,84.1736298725416
"Pará","Normalizados",2017,47.7,28.6,24.1,0,72.2,NA,NA,NA,NA,NA,NA,93.4,0,8.8,3.6,100,2.4,21.8,27,57.6,5.8,39.2,9.9,94.1,87.7,84,NA,NA,NA,NA,NA,NA,NA,7.9,3.7,42.9,99.5,8.1,62.6,0,94.2,8.2,NA,5.8,4.4,55.6,NA,NA,6.6,100,59.9,42.5,NA,100,64.6,55.2,60.8,NA,NA,NA,2.7,46,47.2,85.8,75.5,NA,25.6,53,93.6,NA,54.5,37.2,5.8,3.9,36.9,4.6,65.1,9,31.5,0,33.1,40.6,NA,NA,NA,NA,21.0040772435471,0,66.1968155711405
"Paraíba","Normalizados",2017,59.6,35.2,47.4,32.9,76.5,NA,NA,NA,NA,NA,NA,88.9,31.3,4.7,11.5,100,19.7,41.5,17,75.8,21,70,30.8,86.9,56.2,75.9,NA,NA,NA,NA,NA,NA,NA,25.3,97.6,88.6,52.8,2.2,99,52,100,62,NA,39.7,3.6,100,NA,NA,2.3,35.8,36.8,42.3,NA,91.4,59.3,32.4,74.9,NA,NA,NA,36.6,44.6,71.1,95.3,57.3,NA,63,83.4,76.7,NA,62.2,8.4,54.6,48.9,87.9,23.9,70.1,23.4,34.1,60,56.1,65.4,NA,NA,NA,NA,42.6787212924594,13.2697027296201,30.2066483385798
"Pernambuco","Normalizados",2017,61.4,32.9,79.9,27.9,47.7,NA,NA,NA,NA,NA,NA,84.1,20.2,11.4,29,100,42.4,42,15,39.4,32.3,56.6,11.8,88.1,64.9,83.2,NA,NA,NA,NA,NA,NA,NA,28.1,70.1,90.6,66.3,13.3,91.7,55,85.4,44.7,NA,15.8,6.2,49.3,NA,NA,7.2,4,35.2,34,NA,79.2,100,58.8,53.9,NA,NA,NA,26.5,35.4,4.4,20.4,72.4,NA,18.8,29.7,93.2,NA,43.1,38.7,63.8,61.4,72.5,33.1,15,26.3,17.3,61.6,13.9,61.7,NA,NA,NA,NA,40.5758523119066,20.7275169470663,36.9905886661822
"Piauí","Normalizados",2017,57.9,26.8,26.9,8.5,55.6,NA,NA,NA,NA,NA,NA,95.1,24.6,0,0,100,39.6,26.2,19,84.8,27.1,63.2,20.4,40.3,52.5,57.8,NA,NA,NA,NA,NA,NA,NA,28.3,36.9,81.5,74.6,1.5,49.5,43.1,79.4,39.6,NA,7.6,0,25.5,NA,NA,1.4,56.6,22.7,64.5,NA,86.8,49.3,24.8,56.1,NA,NA,NA,20.1,0,47.2,68.4,19.3,NA,83.4,72.4,93.6,NA,26.2,14.7,75.2,0,74.7,6.5,43.6,8.4,57.6,42.8,68.5,30.2,NA,NA,NA,NA,22.4717479719453,18.118675195383,28.8498232113501
"Paraná","Normalizados",2017,61.7,51.8,55.1,80.6,83.3,NA,NA,NA,NA,NA,NA,59.8,40.7,32.9,51.9,30,86.2,86.9,3,69.7,71.1,73.4,44.7,99.3,94.8,96.3,NA,NA,NA,NA,NA,NA,NA,51.7,76.2,98.2,49.5,18.9,99.2,29.2,90.6,53.2,NA,46.4,73.4,55.9,NA,NA,19.2,22.9,21.6,35.7,NA,91.3,63.1,83.3,35.7,NA,NA,NA,53.1,100,0,66,57.2,NA,79.3,84.3,51.3,NA,93.2,61.8,86.7,73.3,88.5,79.1,84.2,65.3,74.1,100,67.2,90.8,NA,NA,NA,NA,69.32554456318,40.3818933558324,72.8880011036455
"Rio de Janeiro","Normalizados",2017,62.5,23.1,88.6,35.1,90.5,NA,NA,NA,NA,NA,NA,58.6,51.7,48.4,72.4,80,62.5,98,11,51.5,47.8,64.6,1,98.6,92.3,95.5,NA,NA,NA,NA,NA,NA,NA,59.2,64.6,52.3,43,37.7,99.2,0.3,81.6,63.5,NA,26.5,38.9,50.7,NA,NA,32.8,23.8,9.8,0.6,NA,0,39.5,97.5,28.2,NA,NA,NA,0,35.3,55.3,1.4,91,NA,48.3,12.2,80.4,NA,83.5,70.2,83.9,93.3,90.2,74.7,29.3,67.7,58.1,44.2,41.9,69.6,NA,NA,NA,NA,68.8043899633632,29.2048763507046,58.8074688719634
"Rio Grande do Norte","Normalizados",2017,61.3,45.7,46.7,29,52.3,NA,NA,NA,NA,NA,NA,87.3,27.2,9.2,28.2,20,10,48.9,22,72.7,26.5,86.6,58.7,83.9,41.3,79,NA,NA,NA,NA,NA,NA,NA,26.4,100,68.8,56.2,2.9,98.7,73.5,93.4,48.1,NA,36.5,3.5,46,NA,NA,2.3,15.1,43.8,22.6,NA,97.4,38.4,30.8,34.6,NA,NA,NA,5,57.3,83,18,81.4,NA,0,56.2,87.6,NA,48.4,45,76.3,20.3,73.4,35,51.9,28.7,35.7,50.4,0,71,NA,NA,NA,NA,34.4176966665506,39.60709479473,53.7988830035519
