"Estado","Ano","mds_1","mds_2","mds_3","AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","CH_FM","CH_IE","CH_IJ","CH_DL","CH_SB","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","n_mds_1","n_mds_2","n_mds_3"
"Alagoas",2019,-49.219536611322,33.2346609438375,7.78825713647377,93.4,39.2,36.2,11,98.7,6.2,11.1,52.2,84.8,0,0,92.2,9.2,11.9,8.2,47.5,25.8,2,15,47.9,80,42.1,28.6,19,64.4,29.6,49.9,32.8,77.1,62.1,78.8,0,100,47.6,54.8,46.5,55.8,35.3,7.1,95.2,59.8,37.4,2.4,94.2,68.3,65.2,100,70.1,31.3349623855018,76.7101038923707,54.1272512770626
"Amazonas",2019,-82.6633935615318,-70.923843450426,-2.47634561376163,100,59,70.5,25.3,12.5,26.5,11.9,94.9,34.6,7.6,37.5,86.4,20.3,19.5,41.5,16.7,32,34.1,100,40.5,0,30.7,0,20,55.6,47.4,5.6,50.2,86.3,84.6,78.1,40.3,88.6,99.7,22.9,39.1,60,64,22.5,4,75.1,49.2,4.7,21.9,40.5,97.4,0,20.2,21.8718233950037,41.2025082414586,49.5265768896663
"Amapá",2019,-116.869182864902,-117.43371306568,23.1268208091808,99.2,72.9,74.1,6.6,0,5.7,0,98.9,68.9,16.4,0,79,26.9,8.6,45,27,6.2,31,84.2,94.3,0,0,3.3,25,48.9,55.4,0,74.9,6.9,15.9,37.6,99.2,32.8,57.4,81.8,0,67.5,86.8,20.8,10.8,56.3,93.6,0.4,49.8,96.9,74.8,34.9,36.4,12.193091096292,25.3473108797152,61.0021142158016
"Bahia",2019,-24.4441040982838,-18.8570660590182,60.2815745994251,94.5,34.4,48.8,48.7,75.2,14.4,2.7,97.4,34.6,12.9,0,92.8,4.9,8.7,18.5,24.5,0,41.1,84.2,97.2,10,11.9,36.5,24,55.6,25.5,55.5,27.1,89.3,78.7,86.7,47.9,64.5,100,98.1,47.9,100,0,20.6,53.1,68.7,39.4,14.4,82,69.7,94.6,49.3,53.3,38.345318929295,58.9520534102541,77.6551623942977
"Ceará",2019,-4.71713426759019,32.6149821664528,45.8352465748375,92.4,49.3,47.5,32.6,69,6.8,7.3,78.7,7.6,2.3,50,90.3,11.7,4.5,19.9,27.3,57.2,30.7,85,80.9,100,84.1,49.6,5,77.8,72.6,53.6,18.2,84.4,83,85.6,0,68.2,37.2,40.1,49.8,0,27.4,19.3,74.8,54.5,72.7,9.3,96.4,87.3,81.9,37.6,84.2,43.9271828167988,76.4988556261942,71.1802063777951
"Distrito Federal",2019,156.332461613178,-98.8959398375735,-66.816428650309,94.4,100,25.8,100,93.5,54.3,72.8,94.9,84.8,1.7,75,0,100,100,100,91.5,35.5,77.6,67.6,94.3,100,82.6,89.3,3,71.1,77.8,27.5,63.3,81.1,0,90.6,47.9,50.5,97.1,63.4,23.6,46.4,69.4,77.3,59.7,74.1,37.4,22.8,95.2,71.5,82.7,68.7,100,89.4971274691815,31.6668309215962,20.688853763712
"Espírito Santo",2019,59.1296813448926,43.3302338254078,-34.6153295105045,89.7,58.1,72.9,43.3,81.9,28.4,39,52.2,93.8,11.3,50,69.6,34.7,18,45.3,60.6,55.2,43.9,42.5,47.9,100,76.3,85.5,7,48.9,47.6,66.3,35.2,96.4,80.3,92.1,99.5,100,67.9,87.6,75.7,87,97.3,39.1,79.7,69.8,80.7,5,98.2,50.6,94.9,59.2,73.9,61.9930204724595,80.1516809563637,35.121635593005
"Goiás",2019,65.7847044835474,16.3690370233224,27.2275200219095,92.7,37.5,55.3,57.5,100,24.4,41.9,79.4,39.3,0.4,50,71.1,23.5,17,44.5,61.2,54.2,59.2,100,99.6,100,83.9,64.7,8,77.8,75.1,28.8,26.3,70,73.4,82.7,76.4,67.9,48.3,67.8,59.1,88.8,81.9,55.3,76.5,74.7,32,5.5,91.7,36.8,69.9,56.5,52.7,63.8760990013454,70.9606189314194,62.8400793370514
"Maranhão",2019,-118.040167320591,26.8434003561628,20.4256747448094,81.8,24.3,6.9,7.8,31.8,21.8,25.2,68.3,34.6,100,100,100,0.2,3.7,11,9.3,38.7,0,84.2,0,10,10.8,7.3,26,62.2,54,53.7,20.1,71.4,63.6,77.4,100,48.9,36.4,43,29,59,81.8,0,36.5,69.9,74.2,2.6,87.3,41.4,97.4,27.4,35,11.8617540535461,74.531325520249,59.7914396463756
"Minas Gerais",2019,78.1327575925239,46.5729572478242,-7.51182372992344,92.6,61.9,74.9,44.7,83.2,44.9,29.5,86.2,47.1,2.3,100,76.3,18.8,15.9,38.2,65.2,62.8,60.6,86.6,78.8,100,72.2,94.5,2,100,83.7,61.9,31.5,94.5,84.7,93.4,31.8,82.4,54,100,75.7,18.9,69.7,46.7,62.5,69.7,67.5,23.4,98.3,21.9,91.7,37.5,29.1,67.370054348848,81.2571241725515,47.2696366299189
"Mato Grosso do Sul",2019,74.4519917615936,14.3968403623637,46.7378321799295,90.9,70.3,87.9,47.4,91.6,36.9,59.4,24.4,7.6,20.6,37.5,63.3,37.4,29.9,42.7,67,89.3,73.1,84.2,99.6,80,51.3,46.5,13,71.1,52.1,57.3,29.9,77.7,79.6,86.9,99.5,76.1,60.3,40.4,44.6,17.6,100,52,88.3,80.5,34.8,2.7,98.8,61,96.6,55.5,70.5,66.3285596820867,70.2882978186245,71.5847522308418
"Mato Grosso",2019,29.399195423815,18.9531236231115,-23.1379031136752,68.9,28.4,61.9,42.4,65.7,25.7,15.5,69.9,46.1,23.8,100,64.6,24.5,33.2,39.1,67,90.9,71.9,49,99.6,80,45.2,32,9,44.4,79.5,57.5,38.6,83.6,77.6,81.3,92.1,51.8,61.6,38.9,43.3,38.1,81.5,48.1,73.7,67.7,91.2,5.6,95.9,31.2,98.6,45.3,46.4,53.5806019842133,71.8415330982064,40.2659069244901
"Pará",2019,-115.383148825139,68.9477794136874,-70.2807048676541,52.9,13.1,45,0,75,12.2,4.3,86.6,100,57.4,100,92.4,0,8,6.1,0,65.6,29.8,0,51.1,50,1,20.6,27,48.9,26,21.8,13.1,89.8,88.1,82.8,99.5,74.6,19.2,48.7,37.1,78.7,67.9,9.6,0,46.4,96.1,7.6,0,0,99.4,26.3,52.5,12.6135732997601,88.8846927791365,19.1361383540834
"Paraíba",2019,-46.5709528387279,90.9087067136313,-27.9516036166508,92.3,48.1,60,37.6,78.5,23.5,12.9,0,92.3,38.2,87.5,88.7,21.1,4.9,10.7,26.3,38.9,25.8,21.5,47.9,100,27.8,48.3,18,71.1,23,53.2,6.2,76.5,59.1,75.3,31.8,57,2.1,81.2,48.4,9.4,41.5,24,92.6,80.6,59.8,1.8,98,62.1,100,52.6,31.5,32.0843949765259,96.3711647789056,38.1083691072445
"Pernambuco",2019,-19.2149987938269,53.2057152674906,-1.09937718498622,93.5,48,56.4,26.2,52.9,5.4,19,28.6,68.9,5.4,0,86.1,19.3,12.6,33,36.4,21.7,21.8,15,88.9,100,49,50.1,15,66.7,56.8,55.1,9.7,84.3,72.5,84,82.3,81.1,35.1,69.7,33.3,78.3,62.3,27,73.7,71.4,72.2,14.2,96.8,86.9,95,46.5,65.4,39.8249254939833,83.5182289299814,50.143744795397
"Piauí",2019,-111.082213473085,57.2654098719046,-29.2202589857476,92.1,32.2,36.1,13.4,56.7,2.2,0.7,56.6,91.1,0.4,44.4,97,13.9,0,0,8.7,31,31,14.4,16.9,100,51.9,31,17,57.8,43.5,58.7,0,0,60,57.8,28.5,69.8,0,40.1,44.1,39.5,95.2,18.5,75.4,63.9,68.8,1.3,73.4,31,79.1,44,0,13.8305486350578,84.9021773201588,37.5397479530646
"Paraná",2019,162.181997370606,-5.67069974941833,21.970729318282,93.1,64.7,100,84.7,87.6,100,100,97.4,66.1,0.8,50,55.5,40.1,32.3,57.7,83.7,82.5,68.4,88,97.2,70,90.3,83.5,4,80,77.8,71.5,17.6,99.7,96.7,96.4,56.8,93.7,66.6,83.4,68.4,9.6,74.9,56.3,57.7,100,36.9,18.9,99.5,46.9,91.5,52.4,100,91.1522885346304,63.4472808115019,60.4839450629288
"Rio de Janeiro",2019,81.3702225695048,-23.8088667930573,-64.4410024140368,92.7,57.1,74.9,41.6,80.6,13.4,30.1,96.5,97.3,0.1,37.5,47.7,58.4,41.2,81,72.8,24.3,48.5,19.3,16.9,0,53.2,94.6,10,51.1,65.4,54.6,1.9,89.7,93.7,95.2,51.5,80.7,100,63.4,51.2,74.3,27,56.4,63.1,51.5,25.8,29.9,100,4.1,86.8,77.8,100,68.2861143923905,57.2639863702109,21.7535381855339
"Rio Grande do Norte",2019,-26.375318860007,31.5910107144131,-0.131639731930813,92.9,54,39.1,33.7,50.4,8.3,18.1,0,74.5,19.4,37.5,84.2,25.3,9.4,32.2,45.1,34.3,44.7,25.9,94.3,100,9.3,60.9,22,66.7,39.9,73.9,40.5,68.6,59.1,77.9,99.5,0,60,48.7,30.5,13.6,49.4,20.6,100,63.1,62.9,2.8,92.6,100,97.4,38,46.9,37.7988701827316,76.1497841366548,50.5774922108919
"Rondônia",2019,-49.1334998829478,-63.4255644616306,47.5877577453711,40.8,0,34.9,0.3,28.8,36.2,24.5,97.4,47.1,17,66.7,76.2,13,16.1,23,37.9,76.2,55,85,40.5,0,51.7,17.1,11,84.4,49.6,12.8,70.8,41.3,41.9,73.4,94.9,93.7,89.4,63.7,62.1,9.7,89.6,26.2,73.4,51.4,76.3,1.1,88.1,67.9,70,47.8,46.9,31.3593069914516,43.7586687773672,71.9656954465966
"Roraima",2019,-79.3295844113793,-180.407290139609,19.4276752022671,0,69.9,34.9,74.3,18.5,0,0,94.4,39.3,12.8,0,65.2,34,18.5,62.6,37,17.2,37.2,100,99.6,0,37.5,22.7,23,0,63.4,12.3,100,2,31.8,0,41.9,26.5,100,0,28.1,49.1,62.5,27.2,51.5,73,86.9,0,88.5,65.7,0,66.5,32.1,22.8151445975389,3.8796417303127,59.3441285281833
"Rio Grande do Sul",2019,123.610039480125,-4.95842828436689,-4.64562044188813,92.9,42.6,74.3,25.2,71.3,98.4,77.6,98.9,95.6,3.4,37.5,54.2,34.1,31.5,56.5,82.4,83.8,82.1,14.4,94.3,50,58.8,85.2,14,55.6,55.7,66.2,29.1,94.4,100,97.7,99.5,62,79.7,98.7,85.1,39.6,35.9,61,60.6,63,0,13,99.1,36.2,77.6,48.5,74.5,80.2381227673064,63.6900938906816,48.5542911243203
"Santa Catarina",2019,164.955843229411,-43.2578279879975,100.882894888426,95,53.7,64.2,29.4,88.1,92.6,85.1,94.9,7.6,1.6,0,56.5,41.6,34.2,61.5,100,100,100,100,99.6,20,78.6,92.4,6,68.9,75.9,100,25.9,86.4,91.5,94.4,100,80.7,96.6,100,65.7,74.5,75,58.3,88.6,88.7,40.2,10.5,99.4,89.7,89.2,46.2,100,91.9371647807872,50.6338426872122,95.8529883495006
"Sergipe",2019,-49.011319470275,-44.0550017139869,70.7823649436103,91.6,53.1,0,26.1,67.6,15.4,27.3,65.8,66.1,4.5,0,90.6,6.5,6.9,7.1,26,15.1,38.5,84.2,80.4,10,10.8,52.7,21,57.8,0,52.1,75.8,45.2,56.1,69.7,100,93.7,100,64.6,26.5,88.1,52,24.5,89.2,71.4,37.4,1.4,86.5,77.8,97.8,35.9,74.8,31.3938786686586,50.3620864586587,82.3616978890887
"São Paulo",2019,193.450860364341,-0.0796882322869702,-18.7100446492991,93.7,89.8,81.7,82.9,87.1,43.3,73.5,81.2,39.3,2.2,11.1,40.6,51.5,46.1,78.3,89.4,44.7,53.2,67.6,100,100,100,100,1,73.3,100,93,17.9,100,99.6,100,100,41.8,100,65.9,100,96.1,41.9,100,53.1,99.5,73.5,100,99.8,88.2,93.4,95.6,86,100,65.3532545712482,42.2505073541175
"Tocantins",2019,-36.3643731227868,-4.73178744710974,17.4032372993241,96.6,54,51,29.2,90.1,11.3,6.1,52.2,7.6,5.1,11.1,80.8,31.1,15.4,36.9,44.3,66.3,48.3,14.4,51.1,50,42,22.4,16,62.2,60.4,46.7,31.8,48.4,39.9,60.6,0,87.4,39,58.9,46.7,51.6,56,29.5,84.7,61.8,44.3,0.8,79.3,44,98.6,32.5,34.1,34.9724076424497,63.7673556683359,58.4367597935549
"Acre",2020,-136.96134127964,-112.544009596884,-30.7670755259598,0,63.0577563672242,45.7,9.2,26.6,2.4,0,86.8,97.3,18.9,11.1,79.6,31.1,3.5,30.1,34.7,34.6,25.7,67.6,51.1,0,0,20.3,20,52.7,15.3,24.3,95.5,47.9,63.9,39,31.8,96.3,100,0,29,100,100,16.4,53.3,0,100,0.2,0,61.4,59.8,0,62,6.50789491868495,27.0142089849883,36.8464528093834
"Alagoas",2020,-48.2397134836164,14.2563987578105,27.8185585704231,65.6878610968963,52.2831700929701,100,11.8,86.5,10.5,13.4,83.3,91.1,54.6,0,93.6,12.1,6.1,15.8,42.7,8.7,11.3,75.7,16.9,50,2.4,48.3,26,39.4,39.1,73.7,66.6,76.9,77,76,95.1,81.9,61.2,70.1,30.5,39.6,49.4,8,84.9,61.8,43.3,2.2,59.5,66.4,64.6,71,67.2,31.6122091892239,70.2404213275397,63.1049873883686
"Amazonas",2020,-78.359385921146,-8.26995496060613,-51.1964617399113,81.3749957742433,57.2263290220973,83.4,16.2,32.6,13.2,14.1,97.6,92,0,77.8,81.2,17.7,17.3,33.8,7.1,29.9,31,51.2,51.1,20,0,16.3,18,56.8,21,22.1,40.7,89.4,92.1,80.8,73.9,94.8,57.7,58.9,44.6,62.8,77.4,25.5,0,72.1,52,6.2,50,48.7,96.5,39.7,8.3,23.0896680526272,62.5611956706954,27.6898438112808
"Amapá",2020,-112.751103524574,-76.1964650366234,-40.4789487359607,100,80.0303334674972,54.9,7.7,0,0,0,99.7,100,14.6,44.4,75.1,32.3,8.3,51.3,35.8,34.8,29.8,14.4,94.3,20,10,21.2,27,60.6,25.5,0,59.3,0,25.6,42.9,96.7,70.6,23.4,0,21.9,39.4,75,22.5,20.6,78.3,94.8,0.4,77.8,100,74,52.6,26.9,13.3583262313855,39.4050734914904,32.4935160793314
"Bahia",2020,-49.1829022038782,6.59254898856557,2.72688409612278,63.8672308833302,40.9542473739292,41.9,45.3,70.6,12.4,3.3,75.5,74.1,36,11.1,89.5,5,6.6,16.6,25.2,0,0,48.8,47.9,20,11.9,35.5,19,41.4,30.5,49.9,15.6,90,89.5,87.8,72.5,91.9,100,48.5,68.4,63.7,54.1,17.4,55.8,75,44.6,14,99.1,56.3,92.9,63.5,61.5,31.3453283098027,67.627817773771,51.8587047119004
"Ceará",2020,-35.6949751195592,51.9623185803298,-32.7853972857505,66.2126389708382,46.1960836538153,54.2,29.9,63.2,7.4,5,85.4,92,54.9,77.8,89.7,13.1,0.1,21.7,23.1,48.7,18.5,25.9,47.9,100,38.3,58.3,17,48.9,35.1,71,41.8,80.9,89.7,85.4,100,86.2,58.1,38.9,23.7,72,72.6,24.6,74.7,58.7,72.4,8.8,91,73.2,75.2,38,90.9,35.1618178039014,83.0943554588891,35.9418253774469
"Distrito Federal",2020,149.812476765424,-91.3160149062708,-73.1523347387731,66.4967615533863,87.1924006349257,19.1,100,85.7,45.3,67.3,100,83.9,5.3,55.6,0,100,100,100,95.5,36.9,68.1,14.4,100,100,90.3,100,8,64.4,55.4,49.9,78.2,73.3,0,91.1,94.9,88,100,24.6,42.4,59,89.6,69.1,100,76.5,23.9,26.1,98.3,84,84.6,63,100,87.6522588309113,34.2508245291291,17.8490516231492
"Espírito Santo",2020,56.8490133621991,50.3937841753881,19.340439067734,62.0277493750295,77.1849100070211,80.8,42.3,77.1,29.4,26,98.5,97.3,36.7,11.1,69.6,26.3,13.8,40.9,62.2,52.1,51.5,73.8,97.2,100,82.6,90.6,14,93.1,52.8,81.8,21.1,76.5,90.2,93,100,92.5,26,40.4,26,88.1,35.6,37.6,70.8,79.4,81.5,4.5,91.7,62.4,96.6,49.4,76.4,61.3476918507177,82.5596426599764,59.3050286175908
"Goiás",2020,72.7452219131284,38.3865031142612,7.99811556901166,64.6234866316789,59.5045809338531,58.3,54.3,100,31.3,40.9,79.6,66.1,5.3,66.7,69.2,19.3,8.9,39,62.4,53.9,67.8,48.8,88.9,100,86.2,89.5,3,76.3,65.6,71.5,28.2,65.8,82.2,78.9,77.4,92.1,63,81.2,45.8,42.9,35.3,45.7,72.7,74.7,29.1,4.4,96.5,44.8,79.4,49.3,46.3,65.8456189637102,78.4663649841419,54.2213114505588
"Maranhão",2020,-114.044597048206,27.7045720571575,19.3267511833656,56.7962616633121,8.85638700032742,16.6,6.8,33,9.8,1.2,72.2,69.6,55.5,11.1,100,0,0.3,13.8,1.8,28.8,9.7,21.5,51.1,20,7.1,31,23,45.5,38.3,62.4,33.1,73.3,80,78.7,79.6,75.2,36.4,54.7,42.4,94.7,22.6,0,43.6,74.1,73.6,2.9,86.5,61.2,96.5,0,56.9,12.9923245164617,74.8248986348281,59.2988936018904
"Minas Gerais",2020,57.4171061477578,59.3075436357381,-51.0796112818636,64.1105347566387,59.1792829335928,76.4,40.5,79,41.8,32.2,88.3,87.5,23.1,88.9,73.5,19.9,12.3,34.1,67.1,53.5,39.1,19.3,65.3,100,78.2,89.7,7,63.6,78.1,65.3,33.6,88.5,88.4,93.6,100,88.4,56,60.7,71.7,62.8,59.5,42.8,66.7,73.7,63.5,16.9,91,19.1,92.2,52.8,42,61.5084370960178,85.5983399654749,27.742217090849
"Mato Grosso do Sul",2020,88.5675433484389,-9.38238154636186,84.7819299506794,65.0170102228806,75.063248629812,90.4,43.4,87.4,37.6,65.1,65.8,0,2.4,0,61.8,27.7,28.5,34.8,67.3,72.3,73.2,88,97.2,30,90.3,58.4,9,63.9,59.8,67,32,80.6,87.6,87.6,98.6,95.1,63.5,54.4,59.1,18.9,49.4,37.6,85.2,72,37.2,2.2,100,45.4,96.5,48.5,85.2,70.3226392762175,62.1819698587653,88.636411263772
"Mato Grosso",2020,50.6758983073462,-9.81143986243386,-5.17715860744611,46.00184096738,38.4176901104036,71.1,37.5,66.8,28.6,21.1,83.5,75,21.7,100,62.8,24.3,21.4,32.4,60.3,73.7,68.2,84.2,99.6,30,78.2,76,5,66.7,76.6,75.3,59.9,77.9,86.1,81.5,94.9,88.3,84.4,22.9,64.7,18.9,95.2,37.2,71.7,71.4,91.4,4.9,100,27.4,99.2,47.2,70.4,59.6009720912301,62.0357040373968,48.3160516050997
"Pará",2020,-108.802872466156,80.0315665628813,-53.844931190772,37.0932669182519,7.13237647139734,18.6,1.2,80.3,7.8,2.9,90.9,91.1,41.3,88.9,88.6,2.2,1.9,7.1,0,69,41.9,15,40.5,70,2.4,18.8,25,72.7,25.5,28.8,4.2,88.5,93,82.9,19.8,94,0,47.3,66.4,100,51.7,8.6,21.5,45.7,93.8,8.1,49.5,23.6,100,6.8,52.4,14.4755017810846,92.6631517217174,26.5027793076791
"Paraíba",2020,-55.3164453886194,61.2762099761336,-22.9182673394518,65.4915101453315,27.9436107946978,80.2,36,77.4,19,12.9,24.4,96.4,75.2,66.7,83.3,19.4,0,13,33.6,37.9,29.4,21.5,51.1,80,1,22.7,22,41.7,0,56.6,38.9,75,75.4,76.4,96.7,96.9,59.4,67.8,41.1,46.4,81.5,24.9,89.2,88.2,58.6,1.6,99,67.3,97.6,58.9,42.3,29.609805647215,86.2694575932945,40.3643493781937
"Pernambuco",2020,-41.628133074297,43.0126836849743,-11.57593404432,65.8584946312454,24.9738426687755,91,24.9,52.7,6.5,10.1,92.4,93.8,37.9,11.1,86.4,12.2,7.6,26.6,35.1,21.7,28,21.5,40.5,100,42,29,18,58.3,48.2,70.1,67.6,78.9,82.5,84.8,92.1,100,54,43,21.9,91.7,21.1,21.5,68.2,67.7,70.9,10.7,94.4,71.3,91.7,37.9,65.7,33.4829953384826,80.0434282308568,45.4480709360522
"Piauí",2020,-111.878946457901,51.4722109540412,8.75692015409938,63.1577353692294,31.7430341704318,48.4,11.8,63.3,4.7,0.7,69.9,66.1,12.3,0,96.9,12.5,1.9,0,8.2,51.1,41.9,21.5,47.9,100,39.6,3.3,23,71.1,5.8,62,15.1,21.6,78.5,60.7,44.6,88.1,14.7,40.1,27,86.9,82.3,22.4,59.8,66.7,70,1.2,57.4,50,78.3,46.2,0,13.6051082803506,82.9272779502316,54.5614135377605
"Paraná",2020,150.463872957973,-14.3069675280998,14.0041546074814,64.5604504626839,62.6959702713853,94.8,77.1,86.5,99,100,95.5,95.5,19,11.1,55,42,24.4,54.2,87.8,76.4,59.2,86.6,95.9,100,86.2,92.4,5,45.5,73.5,76.8,45,98.2,99.6,94.8,99.2,87.2,100,48.7,71.7,21.8,95.3,50.7,64.3,100,38.2,14.3,91.2,56.5,93.4,55.4,100,87.836575272557,60.503180317723,56.9132646265701
"Rio de Janeiro",2020,65.352785274832,-44.5155569034962,-98.59937546743,65.0456698917135,100,85.4,45.9,59.4,15,36.4,99.4,94.6,18.8,55.6,37,56.4,46.6,81.3,74.9,18.3,52.7,14.4,51.1,20,19.7,95.2,18,38.9,71.1,26.4,32.9,92.5,97.5,96.1,56.8,82.2,100,61,64.3,92.5,56.6,49,71.1,49.5,33.7,25.5,71.1,0,88.7,6.8,100,63.7538848825963,50.2050833647766,6.44349104140344
"Rio Grande do Norte",2020,-70.7877296071711,27.9446648816256,-15.3330542780913,65.9299363861362,51.2500049145379,44,29.9,49.3,13.8,11.1,0,89.3,100,0,80.1,31.5,5.6,36.1,50.1,29.3,5.4,14.4,40.5,100,7.1,35.5,19,87.9,0,75.3,81.7,62.6,77.1,78.2,82.3,86.4,100,45.8,20.9,70.3,81.5,22.5,83.4,61.4,63.3,2.5,99.8,86.3,99.6,21.1,41.9,25.2321134109511,74.9067461899508,43.7641005720278
"Rondônia",2020,-72.2236027952957,-60.3321188185792,3.35706942252755,22.3934333256547,0,65.5,0,31.9,37.6,30,82.9,84.8,26.1,66.7,77,8.3,4.7,14.4,34.4,68.7,52.7,57.8,16.9,0,51.3,30.3,13,46.6,23,12.3,90.3,57.6,71.4,73.4,92.1,96.8,100,0,21.9,72.7,49.9,23.4,65.9,56.8,79.3,0.7,72.2,69.4,69.3,21.1,77.5,24.8258245199245,44.8132232537427,52.1411586520139
"Roraima",2020,-45.2122079217875,-143.555869097162,-43.1314197225688,81.2160323802459,69.5062538209153,77.2,68.1,30,0,0,97.1,94.6,21.1,44.4,62.3,34.3,13.9,63.1,43,25.2,35.7,84.2,47.9,0,27.8,60.9,21,0,100,26.4,100,34.3,57,0,0,0,80.7,64,64.7,67,95.2,15.4,73.1,71,89.9,0,94.4,67.7,0,66.9,22,32.46885996275,16.4422775433592,31.3046580564411
"Rio Grande do Sul",2020,100.873913216739,-20.6878304973856,-4.31027316584759,65.5174348484273,50.3029987558664,79.2,22.9,71.3,100,79,94.9,96.4,15.2,0,53.4,32.5,24.3,52.1,85.5,78.4,82.1,15,56.9,50,97.1,100,10,41.7,30.9,26.4,28.7,99,100,98.3,94.5,91.8,88.9,79.9,64.3,86.9,38.6,61.4,79.3,61.5,0,10.2,49.8,37.7,80.4,8.2,82.8,73.8048001019135,58.3279464898671,48.7045963685956
"Santa Catarina",2020,123.546814909288,-24.0629276653741,40.6513271134363,64.5071387991392,58.4445352636541,93.9,27.1,86.6,90.7,84.5,94.4,99.1,34.7,0,54.4,42.3,22.8,57.7,100,100,72.6,86.6,59,70,45.2,90.6,12,90.9,34.4,65.3,72.8,86.9,94,95.4,84.5,99.3,100,98.7,64.3,39.5,86.8,53.8,91.3,76.9,46.6,8.9,91.7,88.5,92.3,59.2,100,80.2202329975247,57.1773771127392,68.8567335583675
"Sergipe",2020,-60.8983300290592,-38.7291023175956,66.7859515550345,63.906380418647,48.9083456333916,0,22.7,60.7,28.4,26.4,81.3,92.9,49.4,0,86.3,9.2,3,14.9,24.7,10.9,17.3,100,16.9,10,77.3,64.7,9,85.3,5.8,75.2,79.9,40,73.4,69.8,75.2,81.8,84.8,47.3,11.5,42.9,55.5,26.2,94.7,64.5,44.1,1,33.3,77.1,95,32.2,71,28.030378063248,52.1776835944305,80.5704744812615
"São Paulo",2020,162.953087085635,26.1480541103099,-97.9095753287377,65.8253910762172,94.1692447395139,91.2,77.1,85.7,38.4,71.5,99.9,97.3,6.4,100,34.7,54.1,40.6,76.2,91.5,43.6,65.8,15,97.2,100,42,100,3,65.2,54.2,66.3,0,100,99.8,100,92.1,80.1,73,100,68.4,45.8,65.5,100,42.9,95.1,80.8,100,97,82.9,91.4,100,90.4,91.3704729730557,74.2942822420384,6.75266480172566
"Tocantins",2020,-29.2128468017024,19.5631616731003,21.3237427826758,54.7670583988399,49.2391547803664,49.4,25.6,86.8,5.9,0.3,81.2,39.3,16.8,11.1,80.3,30.8,6.7,34.1,47.9,59.8,46.4,15,53.9,70,51.3,39.7,14,63.8,56.1,67.3,38.4,45.8,51.2,59.9,40.3,83.6,41.3,71.7,29,62.8,27,19.2,88.9,62.9,43.6,0.9,79.3,36.7,99.2,42.9,30.2,36.9959747110262,72.0494948439768,60.1939606908316
"Acre",2021,-102.944697749427,-86.8250535930702,-26.6466171780172,0,35.2,26.8,7.8,49.3,29.4,14.1,94.1,99.3,54.6,62.5,77.4,34.3,4.1,25.5,39.8,32.1,12.9,21.5,16.9,0,42.1,44.6,18,53.5,48.2,71,90.3,42.1,25.8,42.5,44.6,64.2,100,39.6,20.9,73.5,51.7,10.1,89.8,0,56.1,0.2,0,57.2,56.9,0,70.3,16.1331072916442,35.7817915809352,38.6932741279462
"Alagoas",2021,-12.2752895187279,11.1711752181094,45.5534447747658,65.7,54,50.1,35.1,86.8,5.7,40.9,92.7,96.4,19,37.5,93.2,12.1,5.9,7.8,37.3,15,3.4,88,99.6,70,65,58.4,16,52.7,52.1,67,67.6,66,53.7,76.9,15.3,68.6,14.7,54.7,37.2,0,1.4,8.9,100,64.6,33.7,3.6,99.1,48.9,61.4,82,95.2,41.7885576648086,69.1886697631574,71.0539006302217
"Amazonas",2021,-54.4814132158212,-2.90827496821425,-23.1905375307751,81.4,59,71,41.6,49.3,29.4,0,98.5,66.1,16.4,75,88.9,17.7,18.2,29.2,4.6,34.1,30.5,100,47.9,50,10,41.5,20,59.5,62.3,64.2,49.9,90.1,76.8,77.9,41.9,94.6,67.9,51.4,64.7,55.8,69.3,13.5,0,86,73.9,6.8,59.5,42,91.8,15.3,10.3,29.8460829858154,64.3889903984193,40.2423157714237
"Amapá",2021,-118.294347924208,-80.7721714979595,-5.11104263007841,100,51.8,27.6,32.6,28.8,13.8,25.2,100,84.8,54.9,37.5,75.2,34.9,7,50.2,30.1,22.1,28,53.7,51.1,50,2.4,15.2,27,58.4,0,0,95.5,0,0.9,46.2,31.5,29.8,35.1,78.3,0,92.5,23.9,12.2,15,86.5,79.5,0.3,82.1,96.8,70.4,37.2,28.5,11.7898321342442,37.8452168500068,48.345685297808
"Bahia",2021,-33.7047706316129,47.8092402299531,33.8439572630949,63.9,24,85.9,32.6,83.2,23.5,30.1,86.2,87.5,26.1,0,96.3,0.4,7.3,6.3,17.9,3.1,29.4,85,100,70,19.7,32,23,37.1,39,68.2,17.5,90.9,73.4,87.3,94.5,91.6,23.4,95.9,39.3,88.9,69.9,19,43.9,74.8,94.8,18.4,57.4,53.5,89.5,60.7,81.6,35.72495804568,81.6785725842277,65.805617711212
