"Estado","Ano","mds_1","mds_2","mds_3","AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","CH_FM","CH_IE","CH_IJ","CH_DL","CH_SB","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","n_mds_1","n_mds_2","n_mds_3"
"Piauí",2017,-79.9412650412114,48.5154156536802,12.3948784781947,57.9,26.8,26.9,8.5,55.6,13.2,15.5,97.8,99.6,0.8,50,95.1,24.6,0,0,6.5,43.6,57.6,64.3,62.1,100,39.6,26.2,19,84.8,27.1,63.2,20.4,40.3,52.5,57.8,82.3,51.8,2.1,100,21.9,69.9,82.3,28.3,36.9,81.5,74.6,1.5,49.5,43.1,79.4,39.6,10.3,22.6420659114737,81.9193075251731,56.1919746117092
"Paraná",2017,125.836182620192,-12.2236583028584,19.4562679114078,61.7,51.8,55.1,80.6,83.3,43.3,65.1,99.4,34.6,0.8,100,59.8,40.7,32.9,51.9,79.1,84.2,74.1,100,100,30,86.2,86.9,3,69.7,71.1,73.4,44.7,99.3,94.8,96.3,77,68.2,60.3,45.8,75.7,35.4,49.4,51.7,76.2,98.2,49.5,18.9,99.2,29.2,90.6,53.2,81.6,80.8680232593028,61.2133796626145,59.3569440016907
"Rio de Janeiro",2017,75.2894516084885,58.6005434502332,-67.0538736783395,62.5,23.1,88.6,35.1,90.5,0,40.9,56.6,89.3,0,37.5,58.6,51.7,48.4,72.4,74.7,29.3,58.1,0,88.9,80,62.5,98,11,51.5,47.8,64.6,1,98.6,92.3,95.5,77.4,94.6,14.7,40.1,59.1,46.4,64.5,59.2,64.6,52.3,43,37.7,99.2,0.3,81.6,63.5,82.8,66.5655239455664,85.3573238635442,20.5824290646315
"Rio Grande do Norte",2017,-11.0880568531061,-23.1097204492259,69.2005887375142,61.3,45.7,46.7,29,52.3,41.8,21.1,68.3,34.6,15.2,50,87.3,27.2,9.2,28.2,35,51.9,35.7,86.6,97.2,20,10,48.9,22,72.7,26.5,86.6,58.7,83.9,41.3,79,99.5,100,84.4,40.4,0,59.8,22.6,26.4,100,68.8,56.2,2.9,98.7,73.5,93.4,48.1,84.2,42.12449223556,57.5023251004178,81.6527335526157
"Rondônia",2017,-59.7737208122775,3.32253050644333,21.4890405139823,0,11.5,34,0.8,40,54.3,2.9,78.7,66.1,54.9,100,80.4,10.9,12.6,17.9,49.3,89.2,46.9,19.3,99.6,50,73.1,18.8,14,100,15.8,43.9,52,57.7,14.1,70.5,92.1,93.7,48.2,33,11.5,0,0,29.2,50.9,51.8,73.3,1.5,96.9,65.3,70.3,61.7,10.3,28.3485929552757,66.5130696818178,60.2680484131938
"Roraima",2017,-53.3009215273139,-118.44720311094,-49.7864959078126,100,0,62,80.3,0,25.7,11.1,94.9,93.8,0.1,100,66.7,52.5,21.5,68,35.9,73.3,44.3,15,97.2,0,38.3,15.2,23,39.4,57.7,36.9,100,66.1,19.4,0,76.4,32.8,19.2,70.1,44.6,31.6,75,28.1,19.2,60.5,81.1,0,81.3,100,0,36.6,67.2,30.1801101568473,25.0018124978729,28.3218014085381
"Rio Grande do Sul",2017,101.255516824908,-9.19623786548837,59.0961006036426,59.9,39.2,71,26.1,75.9,36.2,39,100,0,0.1,50,56.8,37.4,31.7,54,84.9,86.7,86.2,69.5,94.3,20,57.4,89.7,10,81.8,35.1,76.2,34,96.6,98.9,97.4,99.5,75.2,79.7,69.5,39.3,0,21.1,51.9,47.9,67.7,0,13.5,97.7,41.6,79.9,52.2,76.4,73.9127771210939,62.2454261707762,77.1238237753535
"Santa Catarina",2017,142.563242193114,-25.7211643458586,66.9305653401402,60.4,43.3,81.5,27.2,79,98.4,84.5,100,46.1,0.8,37.5,58.7,42.5,34.9,61.3,100,100,100,88,94.3,0,97.1,100,5,81.8,71.8,96.9,5.5,91.8,88.9,94.1,31.8,68.2,47.6,58.2,49.8,18.9,0,48.5,71,84.6,48.7,11.2,98.9,52.4,88.6,50.1,78,85.6010446293128,56.6120848412481,80.6352914988694
"Sergipe",2017,-74.8984283692017,-23.5801543895356,28.2486516685711,60.2,40.3,0,30.9,56.6,36.2,3.3,34.8,0,37.9,50,86.7,18,9.2,11,30.8,42.5,27.3,19.3,16.9,0,17.7,45.2,20,87.9,0,55.5,86.3,68.5,48.2,72.1,69.6,99.3,100,68.5,61.7,49.1,94.7,15.6,79,80.5,38.6,1.6,94.8,53.5,92.9,21.1,10.3,24.0689666545504,57.3419543440391,63.2977584433225
"São Paulo",2017,147.768450358904,17.357995423563,-75.6462117708279,63.8,66.9,89.4,78,81.8,11.3,40.9,92.4,34.6,0.4,66.7,39.8,51.8,49.3,78.3,82.7,48.4,57.2,0,94.3,100,100,93.2,1,66.7,100,100,9.6,100,100,100,15.3,50.5,99.7,33,64.3,88.8,0,74.8,85.1,100,77.2,100,99.2,65.2,85.4,100,42.3,87.0738893559448,71.2977544845413,16.7312766380015
"Tocantins",2017,-28.2338059645439,31.4744767551161,43.9450938967881,43.8,18.7,50.1,29.5,84,1.4,32.2,98.5,39.3,54.6,75,79.3,33.3,13.7,38.7,31.1,66.2,63.3,64.3,100,100,54.3,17.8,18,97,63.2,63.1,49.9,0,16.5,61,99.5,68.2,14.7,97.9,0,55.1,27,31.4,34.8,70.7,38.3,1.1,81.6,17.2,92.2,29.3,30.2,37.2730001609675,76.1100577530015,70.3330253201579
"Acre",2018,-159.961014741695,-59.0404994711703,-82.2774510496535,11.8,29.5,44.4,8.1,28.2,31.3,1.2,28.6,93.8,26.1,100,85.7,28.9,6.4,24,19.5,48.3,12.1,15,40.5,80,9.3,0,16,63.9,46.2,34.7,86.3,36.4,16.8,40.4,18.6,64.5,100,0,30.1,17.3,94.7,15.9,47,0,95,0.4,0,73.9,61.3,4.2,10.3,0,45.2535358118905,13.7591038760221
"Alagoas",2018,-46.9365527800673,63.0379606889319,20.0938195271002,67.9,20.7,34.6,11.4,91.5,5.7,40.9,34.8,66.1,34.7,0,93.8,22.9,11.1,14.3,38.6,28,0.1,15,16.9,80,49,24.4,25,63.9,26.2,63.6,32,76.5,56.7,81,89.6,99.3,23.4,68.5,75.7,45.3,75,13.1,97.9,64.7,37.2,2.6,86.2,46.2,66.1,81.8,74.8,31.98094629042,86.8700377601426,59.6426995696684
"Amazonas",2018,-100.03409734568,-14.5075476361729,-74.9946414895114,85.7,35.2,67.7,23,6.6,43.3,5,95.8,99.6,23.1,75,86.4,20.2,19.9,33,14.1,39,19.1,21.5,0,30,45.2,0.8,19,30.6,48.5,27.6,9.6,90.9,83.1,79.6,34.5,74.6,63.5,0,39.3,61.7,35.9,17.7,9.5,68.2,48.1,4.4,43.1,49.2,98.8,0,28.5,16.9566790527441,60.4348026330155,17.0233154803983
"Amapá",2018,-121.479198215477,-104.343722953635,2.47301487555767,100,51.1,59.2,6.2,12.4,0,24.5,91.9,66.1,20.6,11.1,75.9,48.2,9.5,59.6,27,0,25.2,85,51.1,0,2.4,1.2,20,44.4,43.9,0,59.3,0,5.9,42.5,0,69.8,19.2,79.9,23.6,60,97.5,15.9,0,64.4,100,0.4,99.8,72.6,75.8,42.9,46.3,10.8886597301442,29.8096836708371,51.7449185626239
"Bahia",2018,-16.2160507975082,-34.6385298553938,60.8004564362891,64,9.6,34.7,52,83.2,90.7,59.4,91.2,74.5,0.8,0,91.7,1.9,8.1,11.3,19.4,16.5,34.1,100,47.9,0,0,35.9,21,30.6,15.3,67.5,17.6,90.3,74.8,87.5,34,89.6,100,78.3,64.3,86.9,31.9,19,58.6,72.9,38.3,15.4,75.6,66.8,88.7,55.5,77.5,40.673495733854,53.5721582349152,77.8877292490541
"Ceará",2018,7.23183082028307,62.3953743636447,80.8208189423749,64.5,29.9,46.9,34.8,68.2,21.8,36.4,60.5,0,18.9,37.5,93.8,9.5,3,16.9,18,71.8,23.5,86.6,95.9,100,91.4,44.6,10,83.3,75.1,78.1,9.7,82.6,79.1,84.8,95.3,100,26,39.6,23.7,45.8,62.5,23.6,88.7,61,78.9,9.5,92.7,74.4,93.9,42.3,100,47.3082138260958,86.6509803193527,86.8610106559772
"Distrito Federal",2018,144.921058736949,-123.381091426952,-85.6422460518276,68.9,100,26.8,100,90.1,90.7,41.9,86.2,66.1,19.4,100,0,100,100,100,80.5,56.8,62.5,15,99.6,10,72.2,86.2,1,41.7,71.8,48.6,65.5,78.7,0,90.2,99.5,100,100,7.7,65.7,75.2,69.4,100,69.3,65.5,37.8,25.9,95.9,71.8,92.3,71,100,86.2682028970218,23.3198517945148,12.250976716889
"Espírito Santo",2018,41.6014504343555,62.273333205349,-40.4721151450934,62.5,45.7,100,46.2,78.4,44.9,30.1,52.2,92.9,38.2,87.5,72.6,25.6,20.2,42.5,49.2,70.7,55.1,19.3,100,100,49,80.7,16,66.7,38.2,76.7,30.8,95.4,79.9,91.1,89.3,84.4,61.6,57.1,21.9,72.7,41,31.5,64.6,80,83.3,4.9,98,35.1,97.3,64.7,44.7,57.03330288932,86.6093765335962,32.4965789476413
"Goiás",2018,40.0305983422872,22.1502528853397,18.8167320500811,63.9,29,51.6,51.1,100,28.6,0,86.6,0,37.9,75,71.7,25.8,15.8,43.5,52.3,86,81.3,49,94.3,100,30.7,58.4,14,63.9,65.1,49.4,27.1,70.4,72.5,82,89.3,50.5,97.1,82.1,39.3,75.2,55.5,42.5,78.9,69.3,18.3,5.7,95.3,36.6,60.9,46.3,10.3,56.5888209115718,72.9314332820376,59.0702990794642
